ca	conj.			35235
na	part.			11084
eva	prep.			10412
vac	pft. ac. sg. 3			9064
wu	conj.			7826
iwi	part.			6863
wax	m. sg. nom.			6284
waWA	adv.			6004
mahaw	iic.			5004
wawas	adv.			4642
hi	part.			4042
sarva	iic.			3856
iva	part.			3669
wawra	adv.			3242
yaWA	conj.			2915
evam	adv.			2849
vA	conj.			2780
wax	n. sg. nom.			2768
wax	m. sg. g.			2706
yax	m. sg. nom.			2657
wax	m. sg. acc.			2442
wax	m. pl. nom.			2173
vE	conj.			2135
wax	n. sg. acc.			2106
wax	iic.			2042
asmax	* sg. g.			2004
waxA	adv.			1972
aWa	conj.			1832
yuRmax	* sg. g.			1757
yax	n. sg. nom.			1688
BU	opt. [1] ac. sg. 3			1632
Xarma	iic.			1613
awra	adv.			1425
sarva	m. pl. nom.			1389
xqRtvA	abs.	xqS		1380
ixam	m. sg. nom.			1366
ewax	n. sg. nom.			1246
BU	pr. [1] ac. sg. 3			1235
yax	m. pl. nom.			1198
wax	f. sg. nom.			1166
ixam	m. sg. g.			1160
asmax	* sg. nom.			1155
as	opt. [2] ac. sg. 3			1145
xeva	iic.			1121
SruwvA	abs.	Sru		1112
sva	iic.			1100
brU	impft. [2] ac. sg. 3			1075
namas	n. sg. nom.			1072
vESampAyana	m. sg. nom.			1065
iha	adv.			1062
wax	m. pl. g.			973
yawra	adv.			937
wax	m. sg. i.			935
vac	pr. ps. sg. 3			934
yuRmax	* sg. nom.			933
yaxi	conj.			926
ha	part.			913
arWa	m. sg. acc.			912
ewax	m. sg. nom.			903
ixam	n. sg. nom.			901
rAjan	m. sg. nom.			899
as	pr. [2] ac. sg. 3			892
kaWam	adv.			874
rAjan	iic.			856
Axi	iic.			853
kqwvA	abs.	kq		845
yuXiRTira	m. sg. nom.			824
Awman	m. sg. nom.			798
saxA	adv.			795
brahman	iic.			787
ah	pft. ac. sg. 3			783
BIRma	m. sg. nom.			772
nAma	prep.			747
wax	f. sg. acc.			731
ukwa	n. sg. nom.	vac	pp.	727
yax	m. sg. g.			718
BArawa	m. sg. voc.			712
ixam	n. sg. acc.			683
puwra	m. sg. nom.			666
arWa	iic.			663
vAwa	iic.	vA	pp.	659
jan	pr. [4] md. sg. 3			658
ewax	n. sg. acc.			648
rAjan	m. sg. voc.			643
sarva	n. sg. nom.			637
kq	opt. [8] ac. sg. 3			634
Xarma	m. sg. nom.			621
wax	m. pl. acc.			615
kim	n. sg. nom.			614
parama	iic.			604
ukwa	m. sg. nom.	vac	pp.	595
kqwa	iic.	kq	pp.	595
sma	part.			594
saMSaya	m. sg. nom.			590
yaxA	adv.			588
Bagavaw	m. sg. nom.			585
eka	iic.			584
nara	iic.			564
loka	iic.			563
saFjaya	m. sg. nom.			560
yawas	adv.			555
SrI	iic.			552
vacana	n. sg. acc.			550
ewax	m. pl. nom.			549
piwwa	iic.			546
bala	iic.			540
mArkaNdeya	m. sg. nom.			540
Awman	iic.			539
wax	m. sg. loc.			537
loka	m. sg. loc.			535
yAvaw	adv.			534
kAla	iic.			533
guNa	iic.			531
Barawa	iic.			531
yax	n. sg. acc.			530
axya	adv.			530
kAla	m. sg. loc.			524
puruRa	iic.			523
qRi	m. pl. nom.			522
sawya	iic.			519
kaPa	iic.			515
agni	iic.			512
para	iic.			510
xeva	m. pl. nom.			510
BU	pr. [1] ac. pl. 3			509
BU	fut. ac. sg. 3			507
para	n. sg. nom.			506
awas	adv.			501
BU	impft. [1] ac. sg. 3			498
sama	iic.			488
karman	iic.			488
kAma	iic.			487
Pala	iic.			487
rasa	iic.			487
vac	pft. ac. pl. 3			481
wax	n. sg. i.			477
axas	m. sg. nom.			475
anya	m. pl. nom.			466
ah	pft. ac. pl. 3			463
Sara	iic.			461
sarva	n. sg. acc.			460
maXya	n. sg. loc.			458
Awman	m. sg. g.			457
qRaBa	m. sg. voc.			456
BUwa	iic.	BU	pp.	451
nara	m. sg. nom.			448
pUrva	iic.			441
vexa	iic.			440
ukwvA	abs.	vac		437
Axi	m. pl. nom.			436
kqwa	n. sg. nom.	kq	pp.	435
pApa	iic.			434
vacas	n. sg. acc.			434
as	pr. [2] ac. sg. 2			431
wri	iic.			430
asmax	* sg. i.			429
bahu	iic.			424
as	pr. [2] ac. sg. 1			423
Awman	m. sg. acc.			423
brahman	m. sg. nom.			422
xoRa	iic.			418
as	impft. [2] ac. sg. 3			416
vAkya	n. sg. acc.	vac	pfp. [1]	416
puwra	iic.			414
raWa	iic.			414
yuRmax	* sg. dat.			414
Sawa	iic.			412
raNa	m. sg. loc.			411
wAvaw	adv.			404
prawi	prep.			401
gawa	m. sg. nom.	gam	pp.	395
agni	m. sg. nom.			391
suKa	iic.			389
eka	m. sg. nom.			389
guru	iic.			387
samyak	adv.			383
Pala	n. sg. nom.			382
ISvara	m. sg. nom.			372
wax	n. sg. abl.			371
BUwa	n. pl. g.	BU	pp.	367
arWa	m. sg. nom.			364
xeva	m. sg. nom.			364
wax	m. du. nom.			362
inxra	m. sg. nom.			358
sarva	m. pl. acc.			357
vix	pr. ps. sg. 3			356
yax	f. sg. nom.			355
asmax	* pl. g.			353
parASara	m. sg. nom.			352
nAnA	adv.			351
puruRa	m. sg. nom.			349
para	m. sg. nom.			346
vara	iic.			346
jFAna	iic.			346
asmax	* sg. acc.			346
wax	f. sg. g.			345
sarva	m. pl. g.			344
xA	opt. [3] ac. sg. 3			344
wapas	n. sg. i.			343
sawya	n. sg. nom.			342
brAhmaNa	m. sg. nom.			342
wAwa	m. sg. voc.			336
kuru	iic.			336
smqwa	m. sg. nom.	smq	pp.	335
mahaw	m. sg. nom.			333
viRa	iic.			332
yoga	iic.			328
piwq	m. sg. nom.			326
ixam	f. sg. nom.			325
om	part.			325
inxra	m. sg. voc.			324
yuRmax	* sg. i.			324
vara	m. sg. nom.			323
anwa	m. sg. loc.			322
