ca	a	e	2	3488
ca	a	a	2	2982
ca	a	s	2	2543
ca	a	p	2	2290
ca	a	w	2	2066
ca	a	v	2	2055
na	a	a	2	1917
ca	a	m	2	1883
ca	a	k	2	1607
eva	a	c	2	1444
ca	a	y	2	1243
ca	a	x	2	1183
ca	a	B	2	1068
na	a	s	2	1066
vESampAyanaH	aH	u	2	1064
ca	a	n	2	1055
na	a	c	2	1003
ca	a	S	2	977
waWA	A	e	2	929
eva	a	s	2	927
mahA	A	b	1	897
eva	a	w	2	875
eva	a	a	2	844
wu	u	w	2	839
na	a	w	2	816
sa	a	w	2	772
eva	a	p	2	753
na	a	v	2	748
wu	u	s	2	736
a	a	k	1	717
a	a	m	1	716
ca	a	r	2	713
wawaH	aH	w	2	702
ca	a	A	2	675
evam	m	u	2	651
wu	u	v	2	644
eva	a	v	2	641
yuXiRTiraH	aH	u	2	632
ca	a	b	2	604
wu	u	p	2	603
sarva	a	B	1	596
BIRmaH	aH	u	2	594
na	a	e	2	587
a	a	c	1	578
saH	aH	a	2	578
ca	a	u	2	575
wu	u	k	2	570
iwi	i	u	2	566
iva	a	a	2	545
mahA	A	r	1	539
a	a	s	1	538
na	a	p	2	534
saFjayaH	aH	u	2	530
ca	a	g	2	529
hi	i	a	2	528
eva	a	m	2	517
mArkaNdeyaH	aH	u	2	513
iwi	i	a	2	511
a	a	p	1	509
eva	a	k	2	507
sa	a	v	2	503
a	a	S	1	493
ca	a	i	2	474
wawaH	aH	s	2	472
Xqwa	a	r	1	468
waw	w	v	2	466
a	a	v	1	461
wu	u	m	2	456
iwi	i	e	2	443
ca	a	j	2	440
wu	u	y	2	434
waw	w	s	2	427
na	a	h	2	427
wawaH	aH	a	2	426
wu	u	x	2	425
na	a	k	2	419
wawaH	aH	p	2	415
wu	u	a	2	405
waWA	A	a	2	404
sa	a	p	2	397
na	a	m	2	388
hi	i	s	2	384
wawra	a	w	2	383
eva	a	x	2	380
ca	a	X	2	377
waw	w	a	2	376
mahA	A	q	1	374
iwi	i	p	2	373
iwi	i	v	2	371
yaH	aH	w	2	369
na	a	S	2	368
na	a	x	2	368
yaWA	A	u	2	367
iwi	i	s	2	366
eva	a	h	2	364
mahA	A	v	1	361
evam	m	v	2	355
a	a	B	1	353
Barawa	a	q	1	352
waWA	A	c	2	348
eva	a	n	2	345
na	a	B	2	343
a	a	x	1	342
mahA	A	w	1	340
wu	u	r	2	339
sa	a	m	2	338
sa	a	c	2	335
wawaH	aH	k	2	334
xeva	a	x	1	333
waw	w	w	2	331
we	e	w	2	331
wu	u	n	2	328
awra	a	s	2	324
ca	a	h	2	320
mahA	A	i	1	319
a	a	n	1	318
we	e	s	2	318
parASaraH	aH	u	2	318
eva	a	S	2	314
wawra	a	s	2	313
hi	i	w	2	313
eva	a	B	2	307
waw	w	p	2	304
ca	a	c	2	302
sarva	a	p	1	302
we	e	v	2	302
sarva	a	x	1	301
waw	w	k	2	298
sarva	a	l	1	297
wasya	a	w	2	294
iwi	i	h	2	291
eva	a	y	2	289
wawaH	aH	x	2	286
a	a	j	1	285
sarva	a	s	1	285
sa	a	s	2	285
wawra	a	e	2	284
ye	e	c	2	284
brahma	a	c	1	284
na	a	j	2	282
waw	w	c	2	279
sa	a	k	2	279
wu	u	S	2	278
waw	w	p	1	278
a	a	X	1	277
yaH	aH	a	2	275
wasya	a	p	2	273
sa	a	r	2	272
ca	a	l	2	271
iva	a	p	2	271
Xarma	a	A	1	271
SrI	I	m	1	270
mahA	A	m	1	269
wam	m	x	2	269
iwi	i	m	2	267
waw	w	e	2	265
iwi	i	w	2	265
waw	w	a	1	264
sarva	a	k	1	261
a	a	y	1	260
iwi	i	c	2	260
sarva	a	v	1	258
we	e	p	2	258
sarva	a	a	1	257
vA	A	a	2	256
wu	u	B	2	255
hi	i	v	2	255
iva	a	A	2	253
hi	i	p	2	253
a	a	h	1	251
saH	aH	e	2	250
iwi	i	S	2	250
yaw	w	w	2	249
rARtraH	aH	u	2	248
mahA	A	a	1	246
rAja	a	i	1	246
waw	w	S	2	244
yaH	aH	s	2	243
sa	a	x	2	237
ixam	m	v	2	237
sawya	a	v	1	235
wasya	a	v	2	233
aWa	a	s	2	233
waw	w	u	2	231
iva	a	s	2	231
evam	m	s	2	230
hi	i	m	2	229
wawra	a	a	2	225
viSAm	m	p	2	225
sa	a	h	2	224
aWa	a	v	2	223
