Gata	iic.		
sWa	iic.		
yoga	m. sg. acc.		
yoga	iic.		
ISa	m. sg. voc.		
wawwva	iic.		
jFAna	n. sg. g.		
mAyA	iic.		
sama	m. sg. nom.		
xanwa	iic.		
mUla	n. sg. nom.		
jihvA	iic.		
mUla	n. sg. nom.		
karNa	iic.		
yugma	n. du. g.		
xanwa	iic.		
mUla	n. sg. nom.		
yoga	iic.		
sAXana	n. sg. loc.		
nixrA	iic.		
anwa	m. sg. loc.		
Bojana	iic.		
anwa	m. sg. loc.		
xiva	iic.		
anwa	m. sg. loc.		
ramBA	iic.		
xaNda	m. sg. acc.		
hariw	iic.		
xaNda	m. sg. acc.		
vewra	iic.		
xaNda	m. sg. acc.		
cawur	iic.		
afgula	iic.		
viswAra	n. sg. acc.		
sUkRma	iic.		
vaswra	n. sg. acc.		
bala	iic.		
puRti	f. sg. nom.		
kAnwi	iic.		
puRti	f. du. g.		
vahni	iic.		
maNdala	n. sg. nom.		
aByAsa	iic.		
yoga	m. sg. i.		
koRTa	iic.		
xoRa	m. sg. nom.		
newra	iic.		
roga	m. sg. nom.		
xivya	iic.		
xqRti	iic.		
praxAyaka	n. sg. nom.		
jAnu	iic.		
yugma	n. sg. loc.		
kara	iic.		
yugma	n. sg. acc.		
yoga	iic.		
Asana	n. sg. nom.		
yoga	iic.		
sAXana	n. sg. loc.		
RodaSan	iic.		
AXAra	iic.		
banXana	n. sg. nom.		
sixXi	iic.		
xAyaka	m. sg. acc.		
yogin	iic.		
pufgava	m. pl. i.		
kapAla	iic.		
vakwra	iic.		
saMyoga	m. sg. loc.		
brahman	iic.		
han	m. sg. nom.		
BrUNa	iic.		
han	m. sg. nom.		
guru	iic.		
walpa	iic.		
ga	m. sg. nom.		
Sakwi	iic.		
praboXa	m. sg. dat.		
cira	iic.		
jIvana	n. sg. dat.		
vajrolI	iic.		
muxrA	f. sg. acc.		
yoga	iic.		
SreRTa	m. sg. nom.		
mukwi	iic.		
kAraNa	n. sg. nom.		
veRtana	iic.		
ambara	iic.		
lakRaNa	n. sg. nom.		
nara	iic.		
xeha	m. sg. i.		
gamana	iic.		
Agama	n. sg. nom.		
ewax	iic.		
muxrA	iic.		
prasAxa	m. sg. i.		
mqwyu	iic.		
BAj	m. sg. nom.		
jarA	iic.		
mqwyu	iic.		
vinASin	f. sg. nom.		
bala	iic.		
puRti	iic.		
kara	f. sg. nom.		
akAla	iic.		
maraNa	n. sg. acc.		
SleRman	iic.		
roga	m. pl. nom.		
vijFAna	iic.		
mAwra	n. sg. i.		
kAma	iic.		
Axi	iic.		
ripu	iic.		
nASana	n. sg. nom.		
parvawa	iic.		
XAwu	m. pl. g.		
inxriya	iic.		
kqwa	m. pl. nom.	kq	pp.
prANa	iic.		
nigraha	m. sg. abl.		
yoga	iic.		
AramBa	m. sg. acc.		
sixXi	iic.		
han	m. sg. nom.		
yoga	iic.		
AramBa	m. sg. acc.		
roga	iic.		
xa	m. sg. nom.		
cEwra	iic.		
Axi	iic.		
PAlguna	iic.		
anwa	m. sg. loc.		
mAGa	iic.		
Axi	iic.		
PAlguna	iic.		
anwika	m. sg. loc.		
mArga	iic.		
pORa	m. du. nom.		
mAGa	iic.		
PAlguna	m. du. nom.		
mArga	iic.		
Axi	m. pl. acc.		
SiSira	iic.		
anuBava	m. sg. acc.		
Ama	iic.		
ramBA	f. sg. acc.		
