mahaw	iic.			3666
sarva	iic.			2422
wax	iic.			1342
Xarma	iic.			1167
xeva	iic.			792
sva	iic.			677
rAjan	iic.			587
Axi	iic.			562
arWa	m. sg. acc.			560
brahman	iic.			547
SrI	iic.			487
arWa	iic.			481
parama	iic.			458
nara	iic.			430
Barawa	iic.			405
eka	iic.			399
loka	iic.			397
Sara	iic.			380
Awman	m. sg. nom.			377
kAma	iic.			370
Pala	iic.			366
kAla	iic.			365
agni	iic.			364
sama	iic.			363
guNa	iic.			360
karman	iic.			357
para	iic.			354
sawya	iic.			353
rasa	iic.			353
kqwa	iic.	kq	pp.	346
puruRa	iic.			342
bala	iic.			341
Awman	iic.			338
Axi	m. pl. nom.			336
raWa	iic.			333
wri	iic.			332
qRaBa	m. sg. voc.			330
pApa	iic.			325
Sawa	iic.			313
bahu	iic.			305
vexa	iic.			303
xoRa	iic.			295
pUrva	iic.			291
puwra	iic.			290
mArkaNdeya	m. sg. nom.			260
suKa	iic.			241
yoga	iic.			240
guru	iic.			239
rUpa	iic.			235
varRa	iic.			235
vara	iic.			235
bala	m. sg. nom.			230
piwwa	iic.			229
kuru	iic.			228
xuHKa	iic.			223
jFAna	iic.			223
viRa	iic.			222
varNa	iic.			220
inxra	iic.			215
yajFa	iic.			214
kaPa	iic.			213
muni	iic.			211
puRpa	iic.			210
bAhu	m. sg. nom.			209
xaSan	iic.			207
piwq	iic.			207
canxra	iic.			205
wejas	m. sg. nom.			205
rAkRasa	iic.			204
wawwva	iic.			202
xvi	iic.			202
puNya	iic.			202
BIma	iic.			199
sahasra	iic.			199
pAxa	iic.			197
vix	m. sg. nom.			197
heman	iic.			195
manwra	iic.			195
SAswra	iic.			194
inxra	m. sg. voc.			194
sapwan	iic.			193
wapas	iic.			193
xeha	iic.			189
Siva	iic.			189
qRi	m. pl. nom.			188
cawur	iic.			187
xivya	iic.			187
Soka	iic.			186
jala	iic.			185
sUrya	iic.			185
nAga	iic.			184
Baya	iic.			184
paFcan	iic.			182
nqpa	iic.			182
kqRNa	iic.			179
ganXarva	iic.			178
pANdu	iic.			177
vajra	iic.			176
kula	iic.			175
jiwa	iic.	ji	pp.	174
gaja	iic.			173
paxma	iic.			170
sawwama	m. sg. voc.			169
jFa	m. sg. nom.			167
prANa	iic.			164
anwa	m. sg. loc.			162
hawa	iic.	han	pp.	161
SreRTa	m. sg. voc.			161
arka	iic.			160
sawwva	iic.			159
inxriya	iic.			158
sura	iic.			158
roga	iic.			154
anna	iic.			154
qRi	iic.			154
wIrWa	iic.			153
sixXi	iic.			152
jvara	iic.			150
aSva	iic.			150
mqga	iic.			149
mUla	iic.			149
Saswra	iic.			148
brAhmaNa	iic.			148
RaR	iic.			147
arXa	iic.			147
alpa	iic.			145
vAnara	iic.			145
xAnava	iic.			144
loka	m. sg. acc.			144
svarga	iic.			143
yama	iic.			140
vana	iic.			140
puwra	m. sg. nom.			140
maXya	n. sg. loc.			139
rawna	iic.			139
SafKa	iic.			138
buxXi	iic.			138
swrI	iic.			137
Sakwi	iic.			136
Axi	m. pl. i.			136
sWa	m. sg. nom.			136
han	m. sg. nom.			135
xa	m. sg. nom.			135
SarIra	iic.			135
mqwyu	iic.			133
vIra	iic.			133
yuga	iic.			133
viRNu	iic.			132
gaxA	iic.			132
Sabxa	iic.			131
priya	iic.			131
giri	iic.			130
yoga	m. sg. i.			128
anwara	iic.			128
afga	iic.			128
maya	m. sg. nom.			128
ja	m. sg. nom.			127
ASrama	iic.			127
asura	iic.			126
vixyA	iic.			125
kRaya	iic.			125
mAMsa	iic.			125
kqw	m. sg. nom.			125
manas	iic.			123
karNa	iic.			122
jarA	iic.			122
maXya	iic.			122
Xana	iic.			122
Axi	m. pl. g.			122
pawwra	iic.			122
kroXa	iic.			122
aswra	iic.			122
mAwra	n. sg. i.			120
xaNda	iic.			120
anila	iic.			119
SUla	iic.			119
siMha	iic.			119
xeSa	iic.			119
wAmra	iic.			119
Sawru	iic.			119
raWa	m. pl. nom.			119
xravya	iic.			118
Gna	n. sg. nom.			118
kAla	m. sg. loc.			118
loha	iic.			118
Axiwya	iic.			118
sahasra	n. pl. acc.			118
raWa	m. sg. nom.			118
parvawa	iic.			117
wala	m. sg. loc.			117
xAna	iic.			117
xEwya	iic.			117
gawa	iic.	gam	pp.	117
rAma	iic.			116
kriyA	iic.			115
maNi	iic.			115
vAc	iic.			114
mUwra	iic.			114
kuRTa	iic.			112
cakra	iic.			112
ganXa	iic.			110
inxra	m. sg. nom.			110
SvAsa	iic.			109
ruxra	iic.			109
SoNiwa	iic.			108
xvija	iic.			108
kara	m. sg. nom.			107
kAsa	iic.			107
SleRman	iic.			105
vyAXi	iic.			105
Awreya	iic.			105
maXu	iic.			104
mokRa	iic.			104
koti	iic.			104
gaNa	iic.			103
janman	iic.			102
Axi	m. pl. loc.			101
sneha	iic.			101
xAha	iic.			101
suvarNa	iic.			101
nArAyaNa	iic.			101
yakRa	iic.			100
xIrGa	iic.			100
xroNa	iic.			100
ciwra	iic.			100
BUmi	iic.			99
anwa	iic.			99
inxriya	m. sg. nom.			99
wraya	n. sg. acc.			99
vrawa	iic.			98
vipra	iic.			98
vaXa	iic.			98
viSva	iic.			97
hara	n. sg. nom.			96
ja	m. pl. nom.			96
garBa	iic.			96
mAyA	iic.			95
kAFcana	iic.			95
kRIra	iic.			95
Gora	iic.			95
sama	m. sg. nom.			94
UrXva	iic.			94
sWa	m. sg. acc.			94
SuBa	iic.			94
vAyu	iic.			93
meGa	iic.			93
raNa	iic.			93
vqkRa	iic.			92
narmaxA	iic.			92
Sakra	iic.			91
Siras	iic.			90
kara	n. sg. nom.			90
Pala	n. sg. nom.			90
vix	m. pl. nom.			90
bANa	iic.			90
muKa	iic.			89
sWAna	iic.			89
graha	iic.			89
hari	iic.			89
Sukra	iic.			87
SilA	iic.			87
svarNa	iic.			87
uwwama	iic.			87
niwya	iic.			87
bala	m. pl. nom.			87
sahasra	n. pl. nom.			87
raWa	m. sg. acc.			87
mala	iic.			86
XAwu	iic.			86
gawa	m. sg. nom.	gam	pp.	86
haswa	iic.			86
vikrama	m. sg. nom.			86
wila	iic.			85
uwwama	m. sg. nom.			85
aMSa	m. sg. i.			85
mqxu	iic.			84
xIpwa	iic.	xIp	pp.	84
arWa	m. sg. loc.			84
anya	iic.			83
BU	iic.			83
bAhu	iic.			83
gaNa	m. pl. nom.			83
viXi	iic.			83
wAra	iic.			83
kunwI	iic.			83
aRtan	iic.			82
Xara	m. sg. nom.			82
vqRNi	iic.			82
wIkRNa	iic.			81
vix	m. pl. g.			81
nASana	n. sg. nom.			80
para	m. sg. nom.			80
agra	iic.			80
ukwa	iic.	vac	pp.	80
SEla	iic.			80
kRawra	iic.			80
moha	iic.			79
ISvara	m. sg. nom.			79
yaSas	m. sg. nom.			79
jana	iic.			78
Pala	n. sg. acc.			78
sawwama	m. sg. nom.			78
sparSa	iic.			78
qRaBa	m. sg. nom.			78
aXipa	m. sg. nom.			78
vyAGra	m. sg. voc.			78
Svewa	iic.			77
xa	n. sg. nom.			77
mAsa	iic.			77
Sruwi	iic.			77
BAva	iic.			77
kalpa	iic.			77
nIla	iic.			76
lifga	iic.			76
uwwara	iic.			76
haya	iic.			76
pANdava	iic.			76
lakRaNa	n. sg. nom.			75
xina	iic.			75
Axi	m. sg. loc.			75
sAgara	iic.			75
gqha	iic.			75
vaSa	m. sg. acc.			75
xuryoXana	iic.			75
ga	m. sg. nom.			74
vaswra	iic.			74
xevawA	iic.			74
kRawriya	iic.			74
nanxana	m. sg. voc.			74
bIja	iic.			73
haswin	iic.			73
prIwi	iic.			73
Sawa	n. sg. acc.			73
mqx	iic.			73
Cinna	iic.	Cix	pp.	72
saMsAra	iic.			72
kara	iic.			71
yax	iic.			71
ugra	iic.			71
wapas	m. sg. nom.			71
kRAra	iic.			70
uRNa	iic.			70
aneka	iic.			70
amla	iic.			70
kanaka	iic.			70
manuja	iic.			70
mAwra	n. sg. nom.			69
Bqw	m. pl. g.			69
praxa	n. sg. nom.			69
maxa	iic.			69
rUpa	m. sg. nom.			69
agni	m. sg. i.			69
vahni	iic.			68
RodaSan	iic.			68
kaNTa	iic.			68
vraNa	iic.			68
Sukla	iic.			68
Awmaka	m. sg. nom.			68
miwra	iic.			68
loka	m. sg. loc.			68
mAwq	iic.			68
pura	iic.			68
newra	iic.			67
wejas	iic.			67
paraspara	iic.			67
jaya	iic.			67
SreRTa	m. sg. acc.			67
gulma	iic.			66
snAna	iic.			66
rUpa	n. sg. i.			66
Basman	iic.			66
sama	n. sg. nom.			66
uraga	iic.			66
vaMSa	iic.			65
rUpa	n. sg. nom.			65
pawwra	n. pl. acc.			65
wEla	iic.			64
Gna	m. sg. nom.			64
manxa	iic.			64
SUxra	iic.			64
SuxXa	iic.	SuX	pp.	64
jAwa	iic.	jan	pp.	64
axBuwa	iic.			64
iRvAsa	m. sg. nom.			64
SreRTa	m. sg. nom.			63
rajas	iic.			63
sarpa	iic.			63
Sawa	n. sg. nom.			63
mAwra	n. sg. acc.			63
Asana	iic.			63
viviXa	iic.			63
inxra	m. sg. g.			63
uxaka	iic.			62
sWa	m. pl. nom.			62
bala	m. sg. acc.			62
Awmaka	n. sg. nom.			62
lakRaNa	iic.			62
parAkrama	m. sg. nom.			62
anyonya	iic.			62
arjuna	iic.			62
aBra	iic.			61
AyuXa	iic.			61
ambu	iic.			61
qwu	iic.			61
anwara	n. sg. loc.			61
nakRawra	iic.			61
arWa	m. sg. nom.			61
pala	iic.			61
krama	iic.			61
Bava	iic.			61
piNda	iic.			61
kAraNa	n. sg. nom.			60
Ananxa	iic.			60
kRaya	m. sg. loc.			60
keSa	iic.			60
yoni	iic.			60
BAga	iic.			60
XAnya	iic.			60
mawsya	iic.			60
karman	n. sg. loc.			60
smqwi	iic.			60
xakRiNa	iic.			60
viciwra	iic.			60
ISvara	iic.			60
labXa	iic.	laB	pp.	60
prakqwi	iic.			59
AkASa	iic.			59
xvaya	n. sg. nom.			59
amara	iic.			59
lavaNa	iic.			59
praxa	m. sg. nom.			59
pAna	iic.			59
ari	iic.			59
upama	m. sg. nom.			59
Binna	iic.	Bix	pp.	59
paxa	iic.			59
