ca	conj.			24548
vac	pft. ac. sg. 3			8438
eva	prep.			7204
na	part.			7126
wu	conj.			5617
waWA	adv.			4374
iwi	part.			4288
wax	m. sg. nom.			4250
mahaw	iic.			3666
wawas	adv.			3252
iva	part.			2622
hi	part.			2530
sarva	iic.			2422
wawra	adv.			2313
yaWA	conj.			2156
evam	adv.			2053
wax	m. sg. g.			1881
wax	n. sg. nom.			1788
yax	m. sg. nom.			1745
vA	conj.			1720
wax	m. sg. acc.			1589
wax	m. pl. nom.			1529
vE	conj.			1450
waxA	adv.			1437
wax	iic.			1342
wax	n. sg. acc.			1267
aWa	conj.			1261
Xarma	iic.			1167
BU	opt. [1] ac. sg. 3			1098
vESampAyana	m. sg. nom.			1065
awra	adv.			1051
yax	n. sg. nom.			1037
sarva	m. pl. nom.			976
xqRtvA	abs.	xqS		945
BU	pr. [1] ac. sg. 3			889
yax	m. pl. nom.			829
ixam	m. sg. g.			795
xeva	iic.			792
ewax	n. sg. nom.			788
yuXiRTira	m. sg. nom.			780
ixam	m. sg. nom.			778
as	opt. [2] ac. sg. 3			746
wax	f. sg. nom.			737
vac	pr. ps. sg. 3			736
iha	adv.			700
BIRma	m. sg. nom.			700
wax	m. pl. g.			698
SruwvA	abs.	Sru		694
namas	n. sg. nom.			691
ha	part.			691
brU	impft. [2] ac. sg. 3			685
sva	iic.			677
yawra	adv.			643
rAjan	m. sg. nom.			640
arWa	m. sg. acc.			615
wax	m. sg. i.			598
rAjan	iic.			587
ewax	m. sg. nom.			577
as	pr. [2] ac. sg. 3			562
Axi	iic.			562
ah	pft. ac. sg. 3			561
kqwvA	abs.	kq		550
brahman	iic.			547
saFjaya	m. sg. nom.			545
Awman	m. sg. nom.			540
mArkaNdeya	m. sg. nom.			536
BArawa	m. sg. voc.			536
kaWam	adv.			528
ukwa	n. sg. nom.	vac	pp.	522
jan	pr. [4] md. sg. 3			520
Bagavaw	m. sg. nom.			512
saxA	adv.			509
nAma	prep.			506
yax	m. sg. g.			498
yaxi	conj.			496
wax	f. sg. acc.			494
