a	s	7278
aH	u	6944
a	a	6186
m	p	6180
a	p	6159
a	w	6042
a	v	5988
m	c	5898
m	w	5850
m	a	5306
m	v	5159
m	s	5142
aH	w	5125
aH	s	4950
a	c	4934
a	m	4508
a	e	4238
aH	c	4168
aH	p	4166
a	k	4019
m	k	3840
aH	a	3705
m	x	3491
a	x	3422
a	n	3003
m	m	2970
m	n	2904
aH	v	2856
a	B	2851
a	S	2793
m	S	2784
a	y	2772
m	i	2659
m	A	2633
aH	k	2628
e	w	2576
a	r	2338
A	s	2300
A	w	2265
m	y	2222
aH	m	2220
m	u	2213
A	p	2193
m	B	2170
aH	S	2161
e	s	2142
aH	n	2111
i	c	2097
i	s	2042
A	v	2030
AH	c	2026
m	e	1998
aH	x	1989
e	p	1978
e	c	1977
e	v	1828
w	w	1799
AH	w	1798
a	A	1780
A	c	1778
a	h	1756
AH	s	1717
m	r	1712
aH	B	1705
i	v	1705
i	p	1668
w	p	1660
a	g	1633
w	s	1626
e	n	1608
i	w	1582
m	g	1568
a	b	1526
aH	y	1523
w	v	1477
a	j	1460
a	u	1438
m	j	1414
a	i	1394
i	a	1387
A	x	1378
A	k	1366
AH	p	1366
m	h	1356
m	b	1340
e	k	1323
w	a	1312
A	a	1311
e	x	1305
A	m	1296
w	c	1282
e	m	1276
A	e	1210
aH	i	1164
A	n	1158
i	k	1145
a	X	1138
u	s	1102
w	k	1067
A	S	1043
A	u	1031
e	y	1016
A	B	1010
i	n	1010
i	m	1005
aH	e	1004
i	y	995
e	a	966
i	x	957
u	v	953
aH	h	946
A	y	942
n	c	941
aH	j	917
AH	v	912
A	r	904
m	X	894
u	w	889
e	S	877
EH	c	877
aH	b	872
aH	g	870
n	p	867
w	x	837
e	r	834
a	l	830
n	a	823
u	p	813
i	e	801
i	S	800
m	l	792
n	s	790
n	w	768
AH	k	755
w	S	734
n	v	712
e	B	695
w	y	686
u	k	680
aH	X	675
i	B	673
AH	m	667
i	i	661
u	c	656
AH	n	649
w	e	644
A	i	638
w	B	635
A	h	617
AH	x	598
i	r	596
A	g	588
iH	c	586
AH	S	585
w	m	579
i	u	574
u	x	567
w	n	564
u	y	563
i	h	558
iH	u	551
n	k	547
w	A	541
A	b	538
iH	s	536
u	a	532
AH	y	531
n	x	530
EH	w	530
iH	w	518
u	m	513
iH	p	513
w	r	511
w	u	506
EH	v	506
e	h	506
e	g	499
u	n	498
w	i	483
e	j	465
uH	s	462
A	j	458
w	b	453
A	A	449
EH	p	449
i	A	447
EH	s	442
n	i	430
uH	p	428
O	w	428
aH	l	427
i	j	421
e	b	417
iH	v	417
AH	B	411
AH	r	410
EH	a	409
u	r	399
iH	a	389
n	S	377
u	S	370
EH	S	368
uH	w	366
uH	c	361
w	j	360
EH	k	349
O	p	349
A	X	348
n	A	345
i	g	344
AH	i	343
u	B	342
uH	a	342
n	X	327
e	X	326
uH	v	326
i	b	323
O	c	317
A	l	317
uH	m	316
O	s	309
O	v	306
I	s	305
n	r	303
EH	m	302
uH	u	301
i	X	301
w	g	299
iH	k	293
n	B	292
I	c	285
AH	g	279
iH	n	278
AH	b	276
iH	i	274
iH	B	274
AH	h	273
n	e	273
AH	j	271
w	h	270
O	x	270
n	b	269
EH	n	264
aH	A	261
EH	x	260
e	l	259
n	m	255
O	m	254
n	y	253
aH	U	252
iH	x	251
n	n	245
e	i	242
iH	S	241
iH	m	237
uH	k	234
i	l	233
EH	y	230
u	g	227
iH	y	224
uH	A	222
O	k	218
m	q	215
e	e	212
I	w	212
n	j	211
n	h	207
uH	n	205
n	g	202
u	e	201
m	G	200
EH	i	200
u	i	197
uH	x	197
u	j	196
I	p	195
w	l	191
O	n	186
iH	A	185
I	u	183
E	s	183
uH	S	181
AH	a	181
iH	e	178
I	n	175
u	l	169
I	m	169
n	u	168
EH	b	165
uH	B	164
oH	p	164
I	v	162
E	n	162
u	b	161
AH	X	160
E	p	160
O	r	159
uH	y	159
a	P	158
I	B	157
m	K	157
m	I	155
I	k	154
O	y	151
EH	B	148
O	S	148
oH	w	143
u	A	143
oH	v	143
EH	h	143
u	X	141
AH	U	139
a	K	138
EH	g	137
iH	b	135
E	x	135
iH	j	135
m	P	134
EH	u	134
EH	A	130
oH	c	127
O	B	125
O	a	123
E	v	123
aH	K	122
I	S	121
w	P	120
O	i	119
I	x	118
u	h	117
uH	b	116
