a	a	15328
a	s	14461
a	v	14008
a	p	12786
a	k	9676
a	m	8417
a	A	7878
a	w	7798
a	x	7382
aH	u	6944
a	c	6423
a	S	6270
m	p	6216
m	c	5921
m	w	5850
m	a	5315
a	n	5307
aH	w	5181
m	v	5159
m	s	5144
a	B	5074
aH	s	5061
a	r	4789
a	u	4751
a	e	4381
aH	p	4255
aH	c	4219
a	y	4166
a	g	4156
m	k	3869
aH	a	3801
a	j	3549
m	x	3492
a	h	3122
i	s	3044
m	m	2972
aH	v	2948
m	n	2922
m	S	2784
A	w	2735
A	p	2713
A	s	2706
a	X	2685
aH	k	2684
m	i	2659
m	A	2651
i	p	2604
a	b	2594
e	w	2576
i	v	2553
A	v	2470
a	i	2418
a	l	2356
aH	m	2308
m	y	2223
aH	S	2220
m	u	2213
i	c	2208
m	B	2172
aH	n	2145
e	s	2142
A	a	2102
AH	c	2026
aH	x	2016
m	e	1998
w	p	1979
e	p	1978
e	c	1977
i	a	1921
i	k	1879
w	w	1861
A	c	1843
e	v	1828
AH	w	1805
i	w	1798
w	s	1797
A	m	1733
aH	B	1723
AH	s	1718
m	r	1712
A	k	1679
w	v	1667
A	x	1630
e	n	1608
m	g	1569
aH	y	1557
w	a	1556
u	s	1525
i	m	1506
i	x	1499
A	r	1418
m	j	1414
u	v	1386
AH	p	1366
m	h	1356
m	b	1344
i	n	1332
e	k	1323
u	p	1315
w	c	1314
i	S	1306
e	x	1305
A	n	1305
w	k	1290
A	S	1287
e	m	1276
A	b	1257
A	u	1221
A	e	1212
i	y	1196
aH	i	1164
A	y	1138
A	B	1137
u	k	1036
a	q	1018
e	y	1016
aH	e	1004
u	w	1002
e	a	966
aH	g	956
aH	h	955
n	c	941
aH	j	941
w	x	918
AH	v	912
A	A	910
aH	b	908
A	i	898
i	B	897
m	X	894
e	S	877
EH	c	877
n	p	867
a	I	866
e	r	834
u	m	823
n	a	823
i	e	811
u	x	796
w	S	794
m	l	792
n	s	790
i	r	785
u	a	776
i	j	775
w	m	770
n	w	768
i	g	766
AH	k	755
u	n	754
A	g	737
i	h	730
