Gata	Gata	iic.		
sWa	sWa	iic.		
yogam	yoga	m. sg. acc.		
yoga	yoga	iic.		
ISa	ISa	m. sg. voc.		
wawwva	wawwva	iic.		
jFAnasya	jFAna	n. sg. g.		
mAyA	mAyA	iic.		
samaH	sama	m. sg. nom.		
xanwa	xanwa	iic.		
mUlam	mUla	n. sg. nom.		
jihvA	jihvA	iic.		
mUlam	mUla	n. sg. nom.		
karNa	karNa	iic.		
yugmayoH	yugma	n. du. g.		
xanwa	xanwa	iic.		
mUlam	mUla	n. sg. nom.		
yoga	yoga	iic.		
sAXane	sAXana	n. sg. loc.		
nixrA	nixrA	iic.		
anwe	anwa	m. sg. loc.		
Bojana	Bojana	iic.		
anwe	anwa	m. sg. loc.		
xiva	xiva	iic.		
anwe	anwa	m. sg. loc.		
ramBA	ramBA	iic.		
xaNdam	xaNda	m. sg. acc.		
hariw	hariw	iic.		
xaNdam	xaNda	m. sg. acc.		
vewra	vewra	iic.		
xaNdam	xaNda	m. sg. acc.		
cawuH	cawur	iic.		
afgula	afgula	iic.		
viswAram	viswAra	n. sg. acc.		
sUkRma	sUkRma	iic.		
vaswram	vaswra	n. sg. acc.		
bala	bala	iic.		
puRtiH	puRti	f. sg. nom.		
kAnwi	kAnwi	iic.		
puRtyoH	puRti	f. du. g.		
vahni	vahni	iic.		
maNdalam	maNdala	n. sg. nom.		
aByAsa	aByAsa	iic.		
yogena	yoga	m. sg. i.		
koRTa	koRTa	iic.		
xoRaH	xoRa	m. sg. nom.		
newra	newra	iic.		
rogaH	roga	m. sg. nom.		
xivya	xivya	iic.		
xqRti	xqRti	iic.		
praxAyakam	praxAyaka	n. sg. nom.		
jAnu	jAnu	iic.		
yugme	yugma	n. sg. loc.		
kara	kara	iic.		
yugmam	yugma	n. sg. acc.		
yoga	yoga	iic.		
Asanam	Asana	n. sg. nom.		
yoga	yoga	iic.		
sAXane	sAXana	n. sg. loc.		
RodaSa	RodaSan	iic.		
AXAra	AXAra	iic.		
banXanam	banXana	n. sg. nom.		
sixXi	sixXi	iic.		
xAyakam	xAyaka	m. sg. acc.		
yogi	yogin	iic.		
pufgavEH	pufgava	m. pl. i.		
kapAla	kapAla	iic.		
vakwra	vakwra	iic.		
saMyoge	saMyoga	m. sg. loc.		
brahma	brahman	iic.		
hA	han	m. sg. nom.		
BrUNa	BrUNa	iic.		
hA	han	m. sg. nom.		
guru	guru	iic.		
walpa	walpa	iic.		
gaH	ga	m. sg. nom.		
Sakwi	Sakwi	iic.		
praboXAya	praboXa	m. sg. dat.		
cira	cira	iic.		
jIvanAya	jIvana	n. sg. dat.		
vajrolI	vajrolI	iic.		
muxrAm	muxrA	f. sg. acc.		
yoga	yoga	iic.		
SreRTaH	SreRTa	m. sg. nom.		
mukwi	mukwi	iic.		
kAraNam	kAraNa	n. sg. nom.		
veRtana	veRtana	iic.		
ambara	ambara	iic.		
lakRaNam	lakRaNa	n. sg. nom.		
nara	nara	iic.		
xehena	xeha	m. sg. i.		
gamana	gamana	iic.		
Agamam	Agama	n. sg. nom.		
ewaw	ewax	iic.		
muxrA	muxrA	iic.		
prasAxena	prasAxa	m. sg. i.		
mqwyu	mqwyu	iic.		
BAk	BAj	m. sg. nom.		
jarA	jarA	iic.		
mqwyu	mqwyu	iic.		
vinASinI	vinASin	f. sg. nom.		
bala	bala	iic.		
puRti	puRti	iic.		
karI	kara	f. sg. nom.		
akAla	akAla	iic.		
maraNam	maraNa	n. sg. acc.		
SleRma	SleRman	iic.		
rogAH	roga	m. pl. nom.		
vijFAna	vijFAna	iic.		
mAwreNa	mAwra	n. sg. i.		
kAma	kAma	iic.		
Axi	Axi	iic.		
ripu	ripu	iic.		
nASanam	nASana	n. sg. nom.		
parvawa	parvawa	iic.		
XAwUnAm	XAwu	m. pl. g.		
inxriya	inxriya	iic.		
kqwAH	kqwa	m. pl. nom.	kq	pp.
prANa	prANa	iic.		
nigrahAw	nigraha	m. sg. abl.		
yoga	yoga	iic.		
AramBam	AramBa	m. sg. acc.		
sixXi	sixXi	iic.		
hA	han	m. sg. nom.		
yoga	yoga	iic.		
AramBam	AramBa	m. sg. acc.		
roga	roga	iic.		
xaH	xa	m. sg. nom.		
cEwra	cEwra	iic.		
Axi	Axi	iic.		
PAlguna	PAlguna	iic.		
anwe	anwa	m. sg. loc.		
mAGa	mAGa	iic.		
Axi	Axi	iic.		
PAlguna	PAlguna	iic.		
anwike	anwika	m. sg. loc.		
mArga	mArga	iic.		
pORO	pORa	m. du. nom.		
mAGa	mAGa	iic.		
PAlgunO	PAlguna	m. du. nom.		
mArga	mArga	iic.		
AxIn	Axi	m. pl. acc.		
SiSira	SiSira	iic.		
anuBavam	anuBava	m. sg. acc.		
Ama	Ama	iic.		
ramBAm	ramBA	f. sg. acc.		
bAla	bAla	iic.		
ramBAm	ramBA	f. sg. acc.		
ramBA	ramBA	iic.		
xaNdam	xaNda	m. sg. acc.		
kuSa	kuSa	iic.		
Asane	Asana	n. sg. loc.		
mqga	mqga	iic.		
ajine	ajina	n. sg. loc.		
vyAGra	vyAGra	iic.		
ajine	ajina	n. sg. loc.		
mala	mala	iic.		
AkulAsu	Akula	f. pl. loc.		
mAwrA	mAwrA	iic.		
Axi	Axi	iic.		
Sawa	Sawa	iic.		
paryanwam	paryanwa	n. sg. nom.		
pUra	pUra	iic.		
kumBaka	kumBaka	iic.		
recanam	recana	n. sg. nom.		
meru	meru	iic.		
kampaH	kampa	m. sg. nom.		
naKa	naKa	iic.		
keSAByAm	keSa	m. du. abl.		
uxAna	uxAna	iic.		
vyAnO	vyAna	m. du. nom.		
nABi	nABi	iic.		
xeSe	xeSa	m. sg. loc.		
kaNTa	kaNTa	iic.		
maXya	maXya	iic.		
gaH	ga	m. sg. nom.		
aByAsa	aByAsa	iic.		
yogena	yoga	m. sg. i.		
samAXi	samAXi	iic.		
sixXim	sixXi	f. sg. acc.		
