ca	ca	conj.			24548
uvAca	vac	pft. ac. sg. 3			8438
eva	eva	prep.			7204
na	na	part.			7126
wu	wu	conj.			5617
waWA	waWA	adv.			4374
iwi	iwi	part.			4283
sa	wax	m. sg. nom.			3378
wawaH	wawas	adv.			3252
iva	iva	part.			2622
hi	hi	part.			2530
wawra	wawra	adv.			2313
yaWA	yaWA	conj.			2155
evam	evam	adv.			2053
wasya	wax	m. sg. g.			1881
waw	wax	n. sg. nom.			1788
yaH	yax	m. sg. nom.			1745
vA	vA	conj.			1720
wam	wax	m. sg. acc.			1589
we	wax	m. pl. nom.			1529
vE	vE	conj.			1450
waxA	waxA	adv.			1437
waw	wax	n. sg. acc.			1267
aWa	aWa	conj.			1257
Bavew	BU	opt. [1] ac. sg. 3			1098
vESampAyanaH	vESampAyana	m. sg. nom.			1065
awra	awra	adv.			1051
yaw	yax	n. sg. nom.			1037
sarve	sarva	m. pl. nom.			976
xqRtvA	xqRtvA	abs.	xqS		945
Bavawi	BU	pr. [1] ac. sg. 3			889
saH	wax	m. sg. nom.			872
ye	yax	m. pl. nom.			829
asya	ixam	m. sg. g.			794
ewaw	ewax	n. sg. nom.			788
yuXiRTiraH	yuXiRTira	m. sg. nom.			780
ayam	ixam	m. sg. nom.			778
syAw	as	opt. [2] ac. sg. 3			746
sA	wax	f. sg. nom.			737
ucyawe	vac	pr. ps. sg. 3			735
iha	iha	adv.			700
weRAm	wax	m. pl. g.			698
BIRmaH	BIRma	m. sg. nom.			698
SruwvA	SruwvA	abs.	Sru		694
namaH	namas	n. sg. nom.			691
ha	ha	part.			691
abravIw	brU	impft. [2] ac. sg. 3			685
yawra	yawra	adv.			643
rAjA	rAjan	m. sg. nom.			638
wena	wax	m. sg. i.			598
aswi	as	pr. [2] ac. sg. 3			562
Aha	ah	pft. ac. sg. 3			561
kqwvA	kqwvA	abs.	kq		550
saFjayaH	saFjaya	m. sg. nom.			545
BArawa	BArawa	m. sg. voc.			536
kaWam	kaWam	adv.			528
jAyawe	jan	pr. [4] md. sg. 3			520
eRa	ewax	m. sg. nom.			514
BagavAn	Bagavaw	m. sg. nom.			512
saxA	saxA	adv.			509
nAma	nAma	prep.			506
ukwam	ukwa	n. sg. nom.	vac	pp.	502
yasya	yax	m. sg. g.			498
yaxi	yaxi	conj.			496
wAm	wax	f. sg. acc.			494
ixam	ixam	n. sg. nom.			491
kuryAw	kq	opt. [8] ac. sg. 3			453
sma	sma	part.			452
rAjan	rAjan	m. sg. voc.			438
wAn	wax	m. pl. acc.			435
UcuH	vac	pft. ac. pl. 3			434
ixam	ixam	n. sg. acc.			433
saMSayaH	saMSaya	m. sg. nom.			431
ukwaH	ukwa	m. sg. nom.	vac	pp.	430
sarvam	sarva	n. sg. nom.			429
vacanam	vacana	n. sg. acc.			414
yawaH	yawas	adv.			399
yaxA	yaxA	adv.			395
XarmaH	Xarma	m. sg. nom.			390
ewe	ewax	m. pl. nom.			385
Bavanwi	BU	pr. [1] ac. pl. 3			385
AhuH	ah	pft. ac. pl. 3			374
xevAH	xeva	m. pl. nom.			371
wasmin	wax	m. sg. loc.			371
yAvaw	yAvaw	adv.			369
aBavaw	BU	impft. [1] ac. sg. 3			354
parASaraH	parASara	m. sg. nom.			346
anye	anya	m. pl. nom.			344
brahmA	brahman	m. sg. nom.			344
ewaw	ewax	n. sg. acc.			341
naraH	nara	m. sg. nom.			323
awaH	awas	adv.			322
param	para	n. sg. nom.			319
wena	wax	n. sg. i.			312
yaw	yax	n. sg. acc.			309
loke	loka	m. sg. loc.			308
raNe	raNa	m. sg. loc.			294
sarvam	sarva	n. sg. acc.			290
ukwvA	ukwvA	abs.	vac		288
prawi	prawi	prep.			281
AsIw	as	impft. [2] ac. sg. 3			280
samyak	samyak	adv.			279
puwraH	puwra	m. sg. nom.			278
agniH	agni	m. sg. nom.			276
mArkaNdeyaH	mArkaNdeya	m. sg. nom.			276
BaviRyawi	BU	fut. ac. sg. 3			273
nAnA	nAnA	adv.			272
om	om	part.			271
asO	axas	m. sg. nom.			268
AwmanaH	Awman	m. sg. g.			267
wAvaw	wAvaw	adv.			265
smqwaH	smqwa	m. sg. nom.	smq	pp.	265
xaxyAw	xA	opt. [3] ac. sg. 3			261
brAhmaNaH	brAhmaNa	m. sg. nom.			259
sarvAn	sarva	m. pl. acc.			258
ekaH	eka	m. sg. nom.			256
wasmAw	wax	n. sg. abl.			255
arjunaH	arjuna	m. sg. nom.			253
qRayaH	qRi	m. pl. nom.			253
vacaH	vacas	n. sg. acc.			251
SarEH	Sara	m. pl. i.			251
axya	axya	adv.			247
AwmAnam	Awman	m. sg. acc.			246
sarveRAm	sarva	m. pl. g.			242
pqWak	pqWak	adv.			241
xevaH	xeva	m. sg. nom.			238
puruRaH	puruRa	m. sg. nom.			237
wasyAH	wax	f. sg. g.			237
mahAn	mahaw	m. sg. nom.			236
kAle	kAla	m. sg. loc.			231
wO	wax	m. du. nom.			227
baBUva	BU	pft. ac. sg. 3			227
sawyam	sawya	n. sg. nom.			226
nAraxaH	nAraxa	m. sg. nom.			224
wapasA	wapas	n. sg. i.			220
xaxarSa	xqS	pft. ac. sg. 3			219
vixyawe	vix	pr. ps. sg. 3			218
vyAsaH	vyAsa	m. sg. nom.			217
XanvanwariH	Xanvanwari	m. sg. nom.			216
yA	yax	f. sg. nom.			213
vAyuH	vAyu	m. sg. nom.			212
jagAma	gam	pft. ac. sg. 3			209
Xarmam	Xarma	m. sg. acc.			208
praBuH	praBu	m. sg. nom.			207
wrayaH	wri	m. pl. nom.			203
asi	as	pr. [2] ac. sg. 2			203
maXye	maXya	n. sg. loc.			202
karma	karman	n. sg. acc.			202
rAmaH	rAma	m. sg. nom.			201
wasmin	wax	n. sg. loc.			200
vexa	vix	pft. ac. sg. 3			200
karowi	kq	pr. [8] ac. sg. 3			199
kuruwe	kq	pr. [8] md. sg. 3			195
ISvaraH	ISvara	m. sg. nom.			193
balam	bala	n. sg. nom.			192
yAwi	yA	pr. [2] ac. sg. 3			192
pacew	pac	opt. [1] ac. sg. 3			192
anyaw	anya	n. sg. nom.			192
sarvawaH	sarvawas	adv.			191
varaH	vara	m. sg. nom.			191
mahaw	mahaw	n. sg. acc.			191
aBUw	BU	aor. [1] ac. sg. 3			191
wasya	wax	n. sg. g.			190
gawaH	gawa	m. sg. nom.	gam	pp.	190
