ca	ca	conj.			24548
uvAca	vac	pft. ac. sg. 3			8438
eva	eva	prep.			7204
na	na	part.			7126
wu	wu	conj.			5617
waWA	waWA	adv.			4374
iwi	iwi	part.			4288
mahA	mahaw	iic.			3666
sa	wax	m. sg. nom.			3378
wawaH	wawas	adv.			3252
iva	iva	part.			2622
hi	hi	part.			2530
sarva	sarva	iic.			2422
wawra	wawra	adv.			2313
yaWA	yaWA	conj.			2156
evam	evam	adv.			2053
wasya	wax	m. sg. g.			1881
waw	wax	n. sg. nom.			1788
yaH	yax	m. sg. nom.			1745
vA	vA	conj.			1720
wam	wax	m. sg. acc.			1589
we	wax	m. pl. nom.			1529
vE	vE	conj.			1450
waxA	waxA	adv.			1437
waw	wax	iic.			1342
waw	wax	n. sg. acc.			1267
aWa	aWa	conj.			1257
Xarma	Xarma	iic.			1167
Bavew	BU	opt. [1] ac. sg. 3			1098
vESampAyanaH	vESampAyana	m. sg. nom.			1065
awra	awra	adv.			1051
yaw	yax	n. sg. nom.			1037
sarve	sarva	m. pl. nom.			976
xqRtvA	xqRtvA	abs.	xqS		945
Bavawi	BU	pr. [1] ac. sg. 3			889
saH	wax	m. sg. nom.			872
ye	yax	m. pl. nom.			829
asya	ixam	m. sg. g.			795
xeva	xeva	iic.			792
ewaw	ewax	n. sg. nom.			788
yuXiRTiraH	yuXiRTira	m. sg. nom.			780
ayam	ixam	m. sg. nom.			778
syAw	as	opt. [2] ac. sg. 3			746
sA	wax	f. sg. nom.			737
ucyawe	vac	pr. ps. sg. 3			736
iha	iha	adv.			700
BIRmaH	BIRma	m. sg. nom.			700
weRAm	wax	m. pl. g.			698
SruwvA	SruwvA	abs.	Sru		694
namaH	namas	n. sg. nom.			691
ha	ha	part.			691
abravIw	brU	impft. [2] ac. sg. 3			685
sva	sva	iic.			677
yawra	yawra	adv.			643
rAjA	rAjan	m. sg. nom.			640
arWam	arWa	m. sg. acc.			615
wena	wax	m. sg. i.			598
rAja	rAjan	iic.			587
aswi	as	pr. [2] ac. sg. 3			562
Axi	Axi	iic.			562
Aha	ah	pft. ac. sg. 3			561
kqwvA	kqwvA	abs.	kq		550
brahma	brahman	iic.			547
saFjayaH	saFjaya	m. sg. nom.			545
AwmA	Awman	m. sg. nom.			540
mArkaNdeyaH	mArkaNdeya	m. sg. nom.			536
BArawa	BArawa	m. sg. voc.			536
kaWam	kaWam	adv.			528
ukwam	ukwa	n. sg. nom.	vac	pp.	522
jAyawe	jan	pr. [4] md. sg. 3			520
eRa	ewax	m. sg. nom.			514
BagavAn	Bagavaw	m. sg. nom.			512
saxA	saxA	adv.			509
nAma	nAma	prep.			506
yasya	yax	m. sg. g.			498
yaxi	yaxi	conj.			496
wAm	wax	f. sg. acc.			494
ixam	ixam	n. sg. nom.			491
SrI	SrI	iic.			487
arWa	arWa	iic.			481
parama	parama	iic.			458
kuryAw	kq	opt. [8] ac. sg. 3			453
sma	sma	part.			452
ukwaH	ukwa	m. sg. nom.	vac	pp.	441
qRayaH	qRi	m. pl. nom.			441
rAjan	rAjan	m. sg. voc.			438
saMSayaH	saMSaya	m. sg. nom.			436
wAn	wax	m. pl. acc.			435
vacanam	vacana	n. sg. acc.			435
ixam	ixam	n. sg. acc.			434
UcuH	vac	pft. ac. pl. 3			434
nara	nara	iic.			430
sarvam	sarva	n. sg. nom.			429
XarmaH	Xarma	m. sg. nom.			425
puwraH	puwra	m. sg. nom.			418
Barawa	Barawa	iic.			405
yawaH	yawas	adv.			399
eka	eka	iic.			399
loka	loka	iic.			397
yaxA	yaxA	adv.			395
ewe	ewax	m. pl. nom.			385
Bavanwi	BU	pr. [1] ac. pl. 3			385
xevAH	xeva	m. pl. nom.			380
Sara	Sara	iic.			380
loke	loka	m. sg. loc.			376
AhuH	ah	pft. ac. pl. 3			374
wasmin	wax	m. sg. loc.			371
kAma	kAma	iic.			370
yAvaw	yAvaw	adv.			369
Pala	Pala	iic.			366
kAla	kAla	iic.			365
agni	agni	iic.			364
sama	sama	iic.			363
guNa	guNa	iic.			360
karma	karman	iic.			357
para	para	iic.			354
aBavaw	BU	impft. [1] ac. sg. 3			354
sawya	sawya	iic.			353
rasa	rasa	iic.			353
kAle	kAla	m. sg. loc.			349
brahmA	brahman	m. sg. nom.			347
parASaraH	parASara	m. sg. nom.			347
kqwa	kqwa	iic.	kq	pp.	346
anye	anya	m. pl. nom.			344
puruRa	puruRa	iic.			342
bala	bala	iic.			341
maXye	maXya	n. sg. loc.			341
ewaw	ewax	n. sg. acc.			341
Awma	Awman	iic.			338
AxayaH	Axi	m. pl. nom.			338
raWa	raWa	iic.			333
wri	wri	iic.			332
param	para	n. sg. nom.			330
qRaBa	qRaBa	m. sg. voc.			330
pApa	pApa	iic.			325
naraH	nara	m. sg. nom.			324
awaH	awas	adv.			322
raNe	raNa	m. sg. loc.			319
AwmanaH	Awman	m. sg. g.			314
Sawa	Sawa	iic.			313
wena	wax	n. sg. i.			312
yaw	yax	n. sg. acc.			309
bahu	bahu	iic.			305
vacaH	vacas	n. sg. acc.			305
agniH	agni	m. sg. nom.			304
vexa	vexa	iic.			303
xoRa	xoRa	iic.			295
pUrva	pUrva	iic.			291
sarvam	sarva	n. sg. acc.			291
puwra	puwra	iic.			290
ukwvA	ukwvA	abs.	vac		288
AwmAnam	Awman	m. sg. acc.			281
prawi	prawi	prep.			281
AsIw	as	impft. [2] ac. sg. 3			280
samyak	samyak	adv.			279
gawaH	gawa	m. sg. nom.	gam	pp.	276
nAnA	nAnA	adv.			275
inxraH	inxra	m. sg. nom.			275
BaviRyawi	BU	fut. ac. sg. 3			273
ISvaraH	ISvara	m. sg. nom.			272
om	om	part.			271
asO	axas	m. sg. nom.			268
smqwaH	smqwa	m. sg. nom.	smq	pp.	266
wAvaw	wAvaw	adv.			265
Palam	Pala	n. sg. nom.			263
brAhmaNaH	brAhmaNa	m. sg. nom.			263
xaxyAw	xA	opt. [3] ac. sg. 3			261
sarvAn	sarva	m. pl. acc.			258
ekaH	eka	m. sg. nom.			256
SarEH	Sara	m. pl. i.			256
wasmAw	wax	n. sg. abl.			255
arjunaH	arjuna	m. sg. nom.			255
Palam	Pala	n. sg. acc.			250
xevaH	xeva	m. sg. nom.			250
puruRaH	puruRa	m. sg. nom.			249
axya	axya	adv.			247
sarveRAm	sarva	m. pl. g.			242
suKa	suKa	iic.			241
