ca	2	24548
uvAca	2	8440
eva	2	7204
na	2	7126
wu	2	5617
waWA	2	4374
iwi	2	4288
mahA	1	3667
sa	2	3378
wawaH	2	3252
waw	2	3055
a	1	2771
iva	2	2622
hi	2	2530
sarva	1	2489
wawra	2	2313
yaWA	2	2156
wasya	2	2071
evam	2	2053
vA	2	1872
yaH	2	1745
wam	2	1589
we	2	1558
vE	2	1450
waxA	2	1437
waw	1	1377
yaw	2	1346
Xarma	1	1283
aWa	2	1257
xeva	1	1153
ewaw	2	1129
Bavew	2	1098
vESampAyanaH	2	1065
awra	2	1052
sarve	2	983
xqRtvA	2	945
ixam	2	925
wena	2	910
Bavawi	2	890
asya	2	881
saH	2	872
sva	1	857
ye	2	838
brahma	1	807
yuXiRTiraH	2	780
ayam	2	778
wri	1	766
weRAm	2	749
syAw	2	746
sarvam	2	745
rAja	1	737
sA	2	737
ucyawe	2	736
iha	2	700
BIRmaH	2	700
namaH	2	694
SruwvA	2	694
ha	2	691
abravIw	2	685
nara	1	660
arWam	2	656
yawra	2	643
rAjA	2	640
param	2	607
wasmin	2	571
ukwam	2	566
aswi	2	562
Aha	2	561
Axi	1	560
nAma	2	556
AwmA	2	554
kqwvA	2	550
SrI	1	549
eka	1	546
saFjayaH	2	545
parama	1	538
mArkaNdeyaH	2	536
BArawa	2	536
kaWam	2	528
Palam	2	527
yasya	2	522
jAyawe	2	520
eRa	2	514
BagavAn	2	512
saxA	2	509
yaxi	2	496
qRayaH	2	495
wAm	2	494
vacanam	2	491
arWa	1	487
kAla	1	485
XarmaH	2	476
loka	1	474
kuryAw	2	453
balam	2	452
Sawa	1	452
sma	2	452
kAma	1	446
uwwamam	2	445
ukwaH	2	441
rAjan	2	439
saMSayaH	2	437
wAn	2	435
UcuH	2	434
agni	1	433
xvi	1	431
karma	2	430
puwraH	2	418
rasa	1	413
Sara	1	405
Barawa	1	405
yawaH	2	400
ewe	2	395
yaxA	2	395
guNa	1	389
puruRa	1	386
Bavanwi	2	385
xevAH	2	385
sama	1	380
Pala	1	378
yAvaw	2	376
loke	2	376
bala	1	375
para	1	375
AhuH	2	374
ISvaraH	2	373
karma	1	371
xevaH	2	369
wapaH	2	366
wasmAw	2	361
sawya	1	359
Awma	1	357
aBavaw	2	354
vexa	1	353
rUpam	2	351
kAle	2	350
brahmA	2	347
paFca	1	347
parASaraH	2	347
maXye	2	346
anye	2	346
kqwa	1	346
mahaw	2	346
AxayaH	2	341
bahu	1	338
vacaH	2	335
raWa	1	335
naraH	2	333
AwmanaH	2	330
qRaBa	2	330
paramam	2	329
pApa	1	328
pawiH	2	324
awaH	2	323
kqwam	2	323
cawuH	1	322
raNe	2	319
agniH	2	311
sahasra	1	307
kuru	1	300
pUrva	1	298
sawyam	2	298
yena	2	297
xoRa	1	294
wO	2	294
puwra	1	291
Sawam	2	291
sarveRAm	2	290
ekam	2	290
inxraH	2	290
ukwvA	2	288
AwmAnam	2	285
vara	1	284
jana	1	283
yoga	1	282
prawi	2	281
asO	2	280
xaSa	1	280
AsIw	2	280
samyak	2	279
sahasrANi	2	277
wAvaw	2	276
gawaH	2	276
nAnA	2	275
BaviRyawi	2	275
kqRNa	1	274
om	2	271
Xarmam	2	270
guru	1	269
samam	2	269
kAraNam	2	267
smqwaH	2	266
xAnam	2	263
brAhmaNaH	2	263
xivyam	2	263
manaH	2	262
inxra	1	261
xaxyAw	2	261
sarvAn	2	258
canxra	1	257
ekaH	2	256
arjunaH	2	256
SarEH	2	256
wIrWam	2	252
piwwa	1	250
puruRaH	2	249
pawe	2	247
axya	2	247
anyaw	2	246
rUpa	1	245
jala	1	245
suKam	2	244
arWaH	2	244
varaH	2	244
suKa	1	243
sapwa	1	243
karmaNA	2	243
anena	2	242
jFAnam	2	242
pqWak	2	241
paraH	2	239
mahAn	2	237
varRa	1	237
paxam	2	237
wasyAH	2	237
balaH	2	237
gaja	1	236
nAga	1	236
piwq	1	236
brahma	2	236
lokam	2	235
viRa	1	234
varam	2	234
puRpa	1	232
xuHKa	1	230
bAhuH	2	230
yajFa	1	227
