ca	a	e	2	2565
ca	a	a	2	2002
ca	a	s	2	1766
ca	a	p	2	1623
ca	a	v	2	1372
ca	a	w	2	1338
ca	a	m	2	1267
na	a	a	2	1253
vESampAyanaH	aH	u	2	1064
eva	a	c	2	1062
ca	a	k	2	1035
ca	a	y	2	854
ca	a	x	2	825
ca	a	n	2	755
na	a	s	2	731
ca	a	B	2	730
mahA	A	b	1	685
ca	a	S	2	673
waWA	A	e	2	666
na	a	c	2	650
eva	a	s	2	645
yuXiRTiraH	aH	u	2	631
BIRmaH	aH	u	2	594
eva	a	w	2	586
wu	u	w	2	562
eva	a	p	2	540
wu	u	s	2	535
saFjayaH	aH	u	2	530
evam	m	u	2	523
mArkaNdeyaH	aH	u	2	513
ca	a	r	2	507
sa	a	w	2	502
eva	a	a	2	499
wawaH	aH	w	2	484
wu	u	v	2	480
na	a	w	2	477
na	a	v	2	466
wu	u	p	2	447
ca	a	u	2	431
eva	a	v	2	431
ca	a	b	2	427
ca	a	A	2	427
mahA	A	r	1	417
wu	u	k	2	409
na	a	p	2	390
iva	a	a	2	386
ca	a	g	2	382
eva	a	k	2	368
na	a	e	2	363
iwi	i	u	2	362
saH	aH	a	2	361
sa	a	v	2	348
eva	a	m	2	345
wawaH	aH	s	2	334
iwi	i	a	2	333
wu	u	y	2	325
yaWA	A	u	2	324
wu	u	x	2	321
parASaraH	aH	u	2	318
ca	a	i	2	314
hi	i	a	2	312
ca	a	j	2	307
iwi	i	e	2	306
mahA	A	q	1	300
wu	u	m	2	295
wawra	a	w	2	295
wawaH	aH	p	2	294
waWA	A	c	2	293
waWA	A	a	2	286
waw	w	v	2	286
a	a	c	1	283
eva	a	x	2	281
waw	w	s	2	277
wawaH	aH	a	2	274
Barawa	a	q	1	268
SrI	I	m	1	267
mahA	A	w	1	266
sa	a	p	2	266
iwi	i	h	2	264
wu	u	a	2	260
iwi	i	s	2	258
na	a	k	2	257
wu	u	r	2	257
a	a	k	1	253
hi	i	s	2	251
ca	a	X	2	250
mahA	A	i	1	249
awra	a	s	2	246
na	a	h	2	246
eva	a	n	2	245
a	a	p	1	245
wawaH	aH	k	2	244
eva	a	h	2	243
na	a	x	2	241
wu	u	n	2	239
a	a	s	1	235
na	a	B	2	234
iwi	i	v	2	232
sarva	a	p	1	231
na	a	S	2	231
iwi	i	p	2	226
evam	m	v	2	226
eva	a	S	2	225
yaH	aH	w	2	225
sarva	a	l	1	225
xeva	a	x	1	225
sa	a	c	2	223
ca	a	c	2	222
ca	a	h	2	221
waw	w	w	2	218
a	a	S	1	217
wawaH	aH	x	2	216
sa	a	m	2	213
wawra	a	s	2	211
sa	a	r	2	209
ye	e	c	2	208
sarva	a	s	1	207
waw	w	a	2	205
wasya	a	p	2	203
sa	a	s	2	202
uvAca	a	B	2	201
iva	a	p	2	200
eva	a	y	2	198
wasya	a	w	2	197
wawra	a	e	2	197
a	a	X	1	195
we	e	w	2	193
waw	w	p	2	192
Xarma	a	A	1	192
BagavAn	n	X	2	190
wu	u	S	2	190
sarva	a	v	1	189
eva	a	B	2	189
wu	u	B	2	188
wam	m	x	2	188
waw	w	u	2	186
mahA	A	m	1	186
ha	a	s	2	186
sa	a	k	2	186
na	a	m	2	185
sarva	a	k	1	185
ca	a	l	2	184
sarva	a	x	1	183
mahA	A	a	1	181
sma	a	A	2	181
saH	aH	e	2	180
rAja	a	i	1	179
na	a	j	2	178
iva	a	A	2	177
waw	w	c	2	175
sarva	a	a	1	175
yaH	aH	s	2	175
brahmA	A	u	2	174
waw	w	a	1	173
a	a	v	1	173
iwi	i	S	2	171
iwi	i	w	2	170
wasya	a	v	2	169
waw	w	k	2	169
eva	a	g	2	168
nara	a	a	1	168
mahA	A	v	1	168
viSAm	m	p	2	168
eva	a	r	2	167
waw	w	p	1	167
qRayaH	aH	U	2	167
aWa	a	s	2	166
iva	a	s	2	166
hi	i	p	2	166
hi	i	w	2	165
evam	m	s	2	165
sawya	a	v	1	162
vacanam	m	S	2	162
waw	w	e	2	160
sa	a	x	2	159
iva	a	m	2	159
wawaH	aH	S	2	159
waWA	A	s	2	158
ISvaraH	aH	u	2	158
yaH	aH	a	2	156
Xarma	a	v	1	156
sarva	a	S	1	155
sa	a	h	2	154
a	a	m	1	154
wasya	a	s	2	153
hi	i	v	2	152
wawra	a	a	2	152
sarva	a	r	1	152
wawaH	aH	v	2	152
vE	E	s	2	152
aWa	a	v	1	152
mahA	A	p	1	151
wawra	a	v	2	151
ukwaH	aH	w	2	151
mEwreyaH	aH	u	2	151
Sara	a	v	1	151
jana	a	a	1	151
evam	m	e	2	150
we	e	s	2	149
waw	w	k	1	148
eva	a	A	2	146
iwi	i	c	2	146
aWa	a	v	2	145
brahma	a	v	1	145
na	a	u	2	144
wawra	a	p	2	143
hi	i	e	2	143
vA	A	a	2	142
yaWA	A	v	2	140
vA	A	p	2	140
wasya	a	a	2	140
ixam	m	v	2	140
Xarma	a	j	1	140
vyAsaH	aH	u	2	140
Xarma	a	a	1	139
nAraxaH	aH	u	2	139
waWA	A	p	2	138
sa	a	g	2	137
waWA	A	v	2	136
we	e	v	2	136
na	a	A	2	136
na	a	y	2	136
a	a	h	1	136
waWA	A	k	2	134
iwi	i	A	2	132
iva	a	u	2	132
waw	w	S	2	132
sahasra	a	a	1	131
vacaH	aH	S	2	131
yaH	aH	v	2	130
yaw	w	c	2	130
a	a	n	1	130
na	a	i	2	129
vA	A	y	2	129
sa	a	y	2	129
wawra	a	x	2	128
vA	A	s	2	128
waWA	A	x	2	128
mahA	A	y	1	128
ixam	m	a	2	128
sarva	a	X	1	127
wawaH	aH	g	2	127
a	a	B	1	127
saha	a	x	1	127
yaH	aH	c	2	126
wawra	a	S	2	125
a	a	x	1	125
waWA	A	w	2	124
yaw	w	w	2	124
nara	a	v	1	124
janamejayaH	aH	u	2	124
iva	a	x	2	123
wasya	a	m	2	123
Bavanwi	i	c	2	122
wam	m	v	2	122
iwi	i	k	2	122
waWA	A	i	2	121
yaWA	A	s	2	121
sarva	a	A	1	121
hi	i	x	2	121
vexa	a	v	1	121
na	a	b	2	121
vE	E	p	2	121
arjunaH	aH	u	2	121
mahI	I	p	1	120
sa	a	B	2	119
waw	w	s	1	119
waWA	A	h	2	119
brAhmaNaH	aH	u	2	119
sa	a	n	2	119
yaH	aH	e	2	119
wu	u	g	2	118
wri	i	x	1	118
varRa	a	s	1	117
yaH	aH	p	2	116
wam	m	a	2	116
na	a	g	2	116
anyaw	w	c	2	115
mahA	A	k	1	115
wam	m	w	2	115
yaH	aH	k	2	114
iwi	i	m	2	114
vA	A	n	2	114
we	e	p	2	113
puruRa	a	v	1	113
vA	A	v	2	112
wasya	a	k	2	112
wawra	a	k	2	112
sarve	e	w	2	111
mahA	A	x	1	111
wam	m	u	2	111
wasya	a	x	2	110
Xarma	a	p	1	110
iva	a	v	2	110
yaw	w	a	2	110
vE	E	n	2	110
xeva	a	g	1	110
yayAwiH	iH	u	2	110
wri	i	v	1	109
eva	a	j	2	109
evam	m	p	2	109
eva	a	i	2	109
vacanam	m	a	2	108
sarve	e	s	2	107
hi	i	k	2	106
wawaH	aH	c	2	106
aWa	a	w	2	106
xeva	a	a	1	106
xvi	i	j	1	106
yaWA	A	p	2	105
eva	a	b	2	105
na	a	r	2	105
yaWA	A	a	2	104
waw	w	v	1	104
waw	w	y	2	104
iva	a	k	2	104
wasmin	n	w	2	104
yaw	w	p	2	104
AhuH	uH	A	2	103
sarve	e	p	2	103
SruwvA	A	w	2	103
evam	m	a	2	102
eva	a	u	2	102
xqRtvA	A	p	2	102
wawra	a	m	2	101
wena	a	e	2	101
vA	A	k	2	100
asya	a	p	2	100
wri	i	p	1	100
iwi	i	n	2	100
waw	w	x	2	100
wam	m	A	2	100
wu	u	e	2	99
wawaH	aH	m	2	99
waw	w	A	2	99
sA	A	w	2	99
kAla	a	a	1	98
agni	i	s	1	98
Awreya	a	A	1	98
AxayaH	aH	m	2	98
puruRa	a	q	1	98
wam	m	p	2	98
vinA	A	a	1	98
xvi	i	g	1	98
ewaw	w	s	2	97
waWA	A	A	2	97
vE	E	x	2	97
yaxi	i	v	2	97
sa	a	S	2	97
aWa	a	p	2	96
rAja	a	p	1	96
Aha	a	B	2	96
asya	a	s	2	96
waxA	A	w	2	96
na	a	n	2	96
wasya	a	e	2	96
sva	a	B	1	96
pAra	a	x	1	96
sa	a	j	2	95
viviXAni	i	c	2	95
waw	w	m	1	95
mahA	A	s	1	95
iva	a	S	2	95
arWa	a	s	1	95
ixam	m	s	2	95
yasmAw	w	A	2	95
rAjA	A	u	2	95
Bavawi	i	c	2	94
hi	i	y	2	94
hi	i	m	2	94
waw	w	n	2	94
eka	a	v	1	94
vara	a	x	1	94
vAsuxevaH	aH	u	2	94
xeva	a	I	1	94
vA	A	w	2	93
evam	m	k	2	92
BagavAn	n	A	2	92
wu	u	j	2	91
aWa	a	x	2	91
rAja	a	q	1	91
waWA	A	S	2	90
evam	m	w	2	90
eva	a	e	2	90
arWa	a	k	1	89
sva	a	k	1	89
ha	a	u	2	89
sarva	a	g	1	88
sa	a	b	2	88
pApa	a	k	1	88
jiwa	a	i	1	88
xqRtvA	A	w	2	88
vA	A	m	2	87
aWa	a	m	2	87
Bavawi	i	k	2	87
eka	a	a	1	87
waw	w	A	1	86
Pala	a	p	1	86
wawra	a	n	2	86
iva	a	w	2	86
ewaw	w	p	2	86
vE	E	w	2	86
Sawa	a	s	1	86
sva	a	r	1	85
ewaw	w	v	2	85
anye	e	c	2	85
weRAm	m	w	2	85
yaw	w	v	2	85
syAw	w	s	2	85
yaw	w	k	2	85
rAkRasa	a	i	1	85
BqwAm	m	v	2	84
ukwaH	aH	s	2	84
wIrWe	e	w	2	84
a	a	j	1	84
brahma	a	c	1	84
ukwam	m	c	2	83
wapaH	aH	w	2	83
iva	a	c	2	83
SruwvA	A	s	2	83
sama	a	p	1	82
waw	w	g	1	82
sarva	a	w	1	82
ewaw	w	S	2	81
wena	a	a	2	81
ye	e	w	2	81
Xarma	a	k	1	81
we	e	n	2	81
kqwvA	A	p	2	81
SruwvA	A	v	2	81
vqka	a	u	1	81
eva	a	X	2	80
wu	u	X	2	80
wawra	a	y	2	79
hi	i	B	2	79
sarva	a	j	1	79
waw	w	B	2	79
mahA	A	u	1	79
XarmaH	aH	s	2	79
kunwI	I	p	1	79
vE	E	v	2	78
wasya	a	S	2	78
wena	a	s	2	78
SOnakaH	aH	u	2	78
sa	a	X	2	78
pqWivI	I	p	1	78
yaWA	A	x	2	77
wena	a	w	2	77
wasya	a	c	2	76
wu	u	b	2	76
iwi	i	x	2	76
sarve	e	v	2	76
rAja	a	s	1	76
xeva	a	q	1	76
loka	a	p	1	75
we	e	x	2	75
SAswra	a	v	1	74
wawaH	aH	B	2	74
iva	a	B	2	74
wasya	a	n	2	74
cawuH	uH	v	1	74
sarve	e	e	2	74
we	e	c	2	74
paFca	a	v	1	74
Barawa	a	S	1	74
a	a	y	1	74
a	a	K	1	74
xqRtvA	A	s	2	74
karma	a	k	2	73
guNa	a	u	1	73
yaWA	A	w	2	73
yaH	aH	n	2	73
ewaw	w	w	2	73
weRAm	m	p	2	73
iwi	i	y	2	73
wri	i	S	1	73
wriRu	u	l	2	73
parama	a	a	1	73
waxA	A	p	2	73
pANdu	u	p	1	73
a	a	r	1	73
vA	A	x	2	72
wawra	a	A	2	72
asya	a	v	2	72
aparam	m	c	2	72
ewaw	w	a	2	72
nara	a	S	1	72
parama	a	I	1	72
xqRtvA	A	v	2	72
kqwvA	A	w	2	72
waWA	A	m	2	71
canxra	a	a	1	71
mahA	A	g	1	71
para	a	v	1	71
waWA	A	u	2	71
wawaH	aH	y	2	71
waxA	A	v	2	71
yUWa	a	p	1	71
xuryoXanaH	aH	u	2	71
xqRtvA	A	x	2	71
ukwvA	A	w	2	71
yaWA	A	m	2	70
wawaH	aH	j	2	70
aWa	a	k	2	70
varNa	a	A	1	70
hi	i	A	2	70
sarvam	m	s	2	70
wena	a	p	2	70
hi	i	n	2	70
brahma	a	l	1	70
lomaSaH	aH	u	2	70
a	a	g	1	70
wu	u	c	2	69
paramam	m	p	2	69
yaWA	A	c	2	69
inxraH	aH	u	2	69
sapwa	a	v	1	69
yawra	a	s	2	68
rasa	a	A	1	68
sarvam	m	e	2	68
mahA	A	B	1	68
xevAH	AH	U	2	68
niSa	a	a	1	68
arWam	m	c	2	67
yawra	a	w	2	67
mahA	A	A	1	67
yaWA	A	k	2	67
we	e	m	2	67
vixuraH	aH	u	2	67
hi	i	X	2	67
waWA	A	B	2	67
waxA	A	s	2	66
waw	w	b	2	66
wri	i	a	1	66
sA	A	p	2	66
puNya	a	k	1	66
yaWA	A	n	2	66
wawaH	aH	n	2	66
mahA	A	S	1	66
waxA	A	x	2	66
sva	a	X	1	66
pApa	a	h	1	66
wam	m	e	2	66
loka	a	v	1	66
xeva	a	s	1	66
muni	i	s	1	66
kAle	e	w	2	66
Sawa	a	k	1	66
na	a	l	2	65
kAma	a	a	1	65
vE	E	m	2	65
vE	E	k	2	65
SrI	I	S	1	65
waw	w	r	2	65
wasya	a	r	2	65
we	e	a	2	65
hi	i	r	2	64
maXu	u	s	1	64
wasya	a	B	2	64
Axi	i	s	1	64
yaWA	A	e	2	64
