mahaw	iic.			5525
sarva	iic.			3574
wax	iic.			2508
Xarma	iic.			1670
sva	iic.			1409
xeva	iic.			1065
arWa	m. sg. acc.			1045
rAjan	iic.			1039
brahman	iic.			881
Axi	iic.			829
arWa	iic.			763
parama	iic.			649
nara	iic.			618
loka	iic.			616
kqwa	iic.	kq	pp.	615
eka	iic.			615
kAla	iic.			588
Awman	iic.			584
puruRa	iic.			582
para	iic.			568
Barawa	iic.			543
bala	iic.			539
pUrva	iic.			535
wri	iic.			534
karman	iic.			521
rasa	iic.			519
guNa	iic.			515
kAma	iic.			514
agni	iic.			513
sawya	iic.			505
raWa	iic.			489
qRaBa	m. sg. voc.			488
Pala	iic.			479
asmax	iic.			474
pApa	iic.			463
Sara	iic.			453
vexa	iic.			445
sama	iic.			444
puwra	iic.			438
Sawa	iic.			436
inxra	m. sg. voc.			423
suKa	iic.			420
Awman	m. sg. nom.			420
kuru	iic.			406
bahu	iic.			395
vara	iic.			391
yoga	iic.			384
xoRa	iic.			355
Axi	m. pl. nom.			349
sura	iic.			348
yuRmax	iic.			347
muni	iic.			344
bala	m. sg. nom.			341
rUpa	iic.			334
SrI	iic.			330
vix	m. sg. nom.			329
guru	iic.			321
jFAna	iic.			317
varRa	iic.			317
Soka	iic.			316
inxra	iic.			312
Siva	iic.			308
sapwan	iic.			307
paFcan	iic.			305
sUrya	iic.			305
piwq	iic.			305
cawur	iic.			304
wawwva	iic.			300
xuHKa	iic.			294
yajFa	iic.			292
wapas	iic.			291
kula	iic.			286
rAkRasa	iic.			286
bAhu	m. sg. nom.			282
pAxa	iic.			280
canxra	iic.			280
viRa	iic.			280
nAga	iic.			279
puRpa	iic.			278
manwra	iic.			278
prANa	iic.			276
xvi	iic.			273
kqRNa	iic.			273
xaSan	iic.			270
sahasra	iic.			270
SAswra	iic.			266
SreRTa	m. sg. voc.			266
puNya	iic.			265
loka	m. sg. acc.			264
heman	iic.			263
xivya	iic.			259
jFa	m. sg. nom.			258
BIma	iic.			257
jala	iic.			256
swrI	iic.			256
kaPa	iic.			248
pANdu	iic.			248
amiwa	iic.			247
sawwva	iic.			246
yama	iic.			240
anwa	m. sg. loc.			238
varNa	iic.			238
xeha	iic.			237
priya	iic.			237
aswra	iic.			234
piwwa	iic.			230
gaja	iic.			229
RaR	iic.			226
paxma	iic.			225
kroXa	iic.			222
arka	iic.			220
sawwama	m. sg. voc.			219
qRi	iic.			218
nqpa	iic.			217
Baya	iic.			217
