ca	ind.			40602
na	ind.			12667
eva	ind.			11584
wu	ind.			8981
iwi	ind.			8380
api	ind.			8049
wax	m. sg. nom.			7902
wawas	ind.			6178
waWA	ind.			5744
hi	ind.			4516
wawra	ind.			3918
asmax	* sg. g.			3688
wax	m. sg. acc.			3435
yuRmax	* sg. g.			3400
wax	n. sg. nom.			3388
iva	ind.			3363
vac	pft. ac. sg. 3			3320
evam	ind.			3255
wax	m. sg. g.			3226
wax	n. sg. acc.			3150
yax	m. sg. nom.			3045
asmax	* sg. nom.			2938
punar	ind.			2800
vA	ind.			2616
yaWA	ind.			2517
vE	ind.			2481
aWa	ind.			2317
wax	m. pl. nom.			2263
yax	n. sg. nom.			2153
yuRmax	* sg. nom.			2037
waxA	ind.			1843
awra	ind.			1838
ixam	m. sg. nom.			1769
ewax	n. sg. nom.			1643
saha	ind.			1623
BU	opt. [1] ac. sg. 3			1614
iha	ind.			1469
sarva	m. pl. nom.			1348
ixam	m. sg. g.			1339
rAjan	m. sg. voc.			1309
as	opt. [2] ac. sg. 3			1256
brU	impft. [2] ac. sg. 3			1188
wax	m. sg. i.			1179
BU	pr. [1] ac. sg. 3			1151
ixam	n. sg. nom.			1148
xqS	abs.			1135
asmax	* sg. acc.			1117
wax	m. pl. g.			1115
namas	n. sg. nom.			1105
yaxi	ind.			1104
ah	pft. ac. sg. 3			1089
wax	f. sg. nom.			1070
yawra	ind.			1061
ha	ind.			1058
wax	f. sg. acc.			1056
kaWam	ind.			1040
rAjan	m. sg. nom.			1033
kim	n. sg. nom.			1029
ewax	m. sg. nom.			1020
yax	m. pl. nom.			1009
BArawa	m. sg. voc.			1002
asmax	* sg. i.			987
as	pr. [2] ac. sg. 3			983
wax	m. pl. acc.			938
yuRmax	* sg. dat.			917
axya	ind.			913
Sru	abs.			899
yuRmax	* sg. acc.			893
kq	abs.			883
ewax	n. sg. acc.			871
ixam	n. sg. acc.			852
nAma	ind.			852
sarva	n. sg. nom.			831
BU	impft. [1] ac. sg. 3			791
ukwa	n. sg. nom.	vac	pp.	790
as	pr. [2] ac. sg. 2			763
svayam	ind.			741
yax	m. sg. g.			738
vac	pr. ps. sg. 3			738
kq	opt. [8] ac. sg. 3			711
kim	m. sg. nom.			710
saxA	ind.			700
sarva	n. sg. acc.			694
jan	pr. [4] md. sg. 3			684
Bagavaw	m. sg. nom.			684
yax	n. sg. acc.			670
ukwa	m. sg. nom.	vac	pp.	668
sma	ind.			668
asmax	* pl. g.			653
wax	m. sg. loc.			641
yuRmax	* sg. i.			634
kim	n. sg. acc.			624
yAvaw	ind.			621
axas	m. sg. nom.			615
purA	ind.			604
saMSaya	m. sg. nom.			585
puwra	m. sg. nom.			577
yawas	ind.			573
raNa	m. sg. loc.			565
Xarma	m. sg. nom.			552
awas	ind.			543
sarva	m. pl. acc.			539
as	pr. [2] ac. sg. 1			537
vacana	n. sg. acc.			530
BU	fut. ac. sg. 3			530
nara	m. sg. nom.			529
wax	n. sg. i.			527
vac	abs.			525
prawi	ind.			524
Awman	m. sg. acc.			517
para	n. sg. nom.			515
Sru	imp. [5] ac. sg. 2			501
kqwa	n. sg. nom.	kq	pp.	500
wax	m. du. nom.			487
ah	pft. ac. pl. 3			473
as	impft. [2] ac. sg. 3			469
loka	m. sg. loc.			467
wAvaw	ind.			459
wax	n. sg. abl.			458
BU	aor. [1] ac. sg. 3			457
arh	pr. [1] ac. sg. 2			455
wAwa	m. sg. voc.			455
anya	m. pl. nom.			453
yaxA	ind.			449
samyak	ind.			448
mahAwman	m. sg. g.			445
Awman	m. sg. g.			444
agni	m. sg. nom.			442
brahman	m. sg. nom.			435
xeva	m. sg. nom.			434
eka	m. sg. nom.			432
wax	m. pl. i.			426
ewax	m. pl. nom.			425
ixam	m. sg. acc.			424
puruRa	m. sg. nom.			414
pqWak	ind.			407
prAp	abs.			406
sarva	m. pl. g.			397
as	imp. [2] ac. sg. 3			397
vacas	n. sg. acc.			396
mahaw	m. sg. nom.			393
BU	pr. [1] ac. pl. 3			378
kAla	m. sg. loc.			378
smqwa	m. sg. nom.	smq	pp.	372
Bavaw	m. sg. nom.			372
rAma	m. sg. nom.			368
karman	n. sg. acc.			362
ixam	f. sg. nom.			360
Xarma	m. sg. acc.			360
XqwarARtra	m. sg. nom.			360
cex	ind.			359
gawa	m. sg. nom.	gam	pp.	356
xA	opt. [3] ac. sg. 3			352
parASara	m. sg. nom.			350
Sara	m. pl. i.			348
Pala	n. sg. acc.			345
sawya	n. sg. nom.			343
gam	abs.			340
xeva	m. sg. acc.			336
kq	pr. [8] ac. sg. 3			336
anya	n. sg. nom.			336
asmax	* pl. nom.			336
praBu	m. sg. nom.			334
vara	m. sg. nom.			331
iR	pr. [6] ac. sg. 1			329
gam	pft. ac. sg. 3			328
AxA	abs.			327
BU	pft. ac. sg. 3			326
