a	a	2	15659
a	s	2	14068
m	a	2	14051
m	p	2	13439
a	a	1	13124
a	w	2	12354
a	p	2	12213
m	w	2	11866
a	v	2	11220
a	s	1	11186
m	s	2	10777
a	v	1	10481
m	c	2	10394
m	v	2	10146
aH	a	2	9858
a	m	2	9768
aH	w	2	9737
a	A	1	9049
aH	s	2	9040
a	p	1	8821
aH	p	2	8557
a	c	2	8203
a	k	2	7989
m	k	2	7484
a	k	1	7365
a	e	2	7148
aH	c	2	7123
m	m	2	6865
m	A	2	6378
m	x	2	6109
m	n	2	6074
a	x	2	5833
a	n	2	5806
m	i	2	5747
a	m	1	5505
aH	v	2	5284
a	B	2	5018
a	S	2	4999
a	y	2	4958
aH	k	2	4736
a	x	1	4731
m	S	2	4674
A	s	2	4658
i	s	2	4599
A	w	2	4553
m	u	2	4541
e	w	2	4530
aH	m	2	4529
a	S	1	4513
a	u	1	4473
A	p	2	4462
A	a	2	4328
e	s	2	4272
i	a	2	4272
m	e	2	4237
m	y	2	4218
e	p	2	4175
a	r	2	4111
i	w	2	4039
i	p	2	3824
aH	n	2	3814
m	B	2	3800
w	w	2	3652
e	v	2	3594
i	v	2	3581
i	c	2	3556
aH	S	2	3520
w	a	2	3337
w	p	2	3335
a	A	2	3310
a	g	1	3298
aH	x	2	3273
a	r	1	3236
w	s	2	3200
a	n	1	3187
a	h	2	3171
e	c	2	3115
A	c	2	3030
aH	B	2	2955
m	r	2	2945
i	m	2	2933
m	g	2	2920
e	a	2	2912
a	g	2	2865
w	v	2	2818
e	n	2	2801
a	i	2	2793
a	B	1	2782
e	k	2	2734
a	u	2	2722
a	j	1	2708
e	m	2	2704
A	k	2	2631
i	k	2	2631
a	b	2	2624
AH	c	2	2608
aH	y	2	2577
a	j	2	2559
i	n	2	2551
AH	w	2	2541
m	b	2	2533
AH	s	2	2533
m	h	2	2528
m	j	2	2511
aH	r	2	2379
a	w	1	2286
w	c	2	2232
e	x	2	2216
a	l	1	2188
w	k	2	2096
AH	p	2	2057
A	e	2	2029
a	X	2	1985
i	x	2	1985
n	a	2	1937
i	y	2	1933
aH	h	2	1883
u	s	2	1877
n	p	2	1804
e	y	2	1788
a	y	1	1760
A	S	2	1690
a	i	1	1665
n	s	2	1660
a	h	1	1654
u	w	2	1637
i	i	2	1630
i	S	2	1627
w	m	2	1615
a	X	1	1609
n	c	2	1602
u	v	2	1581
i	e	2	1576
e	S	2	1574
m	X	2	1574
a	c	1	1555
aH	b	2	1549
i	s	1	1514
aH	j	2	1511
aH	g	2	1502
w	x	2	1496
u	p	2	1466
A	u	2	1458
a	l	2	1458
a	b	1	1436
i	u	2	1414
i	B	2	1397
n	v	2	1394
n	w	2	1393
EH	c	2	1384
m	l	2	1344
e	B	2	1338
A	i	2	1326
e	r	2	1323
w	S	2	1286
aH	u	2	1242
u	a	2	1241
w	e	2	1236
A	v	2	1236
EH	s	2	1227
i	p	1	1212
w	n	2	1209
w	y	2	1184
u	m	2	1168
A	a	1	1161
aH	X	2	1133
iH	s	2	1129
w	i	2	1123
i	r	2	1109
w	B	2	1107
a	q	1	1091
A	b	1	1086
u	k	2	1076
EH	a	2	1066
n	k	2	1045
i	v	1	1033
AH	k	2	1007
iH	c	2	986
e	b	2	962
u	c	2	962
e	h	2	952
w	A	2	946
w	b	2	944
w	u	2	935
i	k	1	918
iH	a	2	904
EH	w	2	903
n	x	2	898
i	h	2	890
i	A	2	888
e	j	2	884
iH	w	2	878
w	r	2	875
A	x	2	871
A	A	2	866
u	n	2	863
u	y	2	863
e	g	2	857
u	x	2	853
iH	p	2	851
EH	p	2	831
EH	v	2	823
A	v	1	821
A	m	2	820
n	i	2	794
O	w	2	774
A	p	1	773
i	j	2	763
uH	s	2	760
i	g	2	758
iH	u	2	758
iH	v	2	734
i	b	2	729
A	r	1	724
aH	e	2	710
O	s	2	705
AH	S	2	704
A	m	1	698
uH	a	2	687
O	p	2	685
i	m	1	683
uH	p	2	675
a	I	1	670
aH	l	2	667
uH	w	2	665
A	A	1	662
i	a	1	660
w	p	1	654
aH	i	2	647
u	p	1	642
u	r	2	642
n	A	2	638
uH	c	2	617
O	c	2	614
w	a	1	614
i	x	1	611
n	m	2	601
u	B	2	591
w	j	2	590
n	n	2	590
i	S	1	588
A	s	1	584
u	s	1	583
A	n	2	572
