mahA	mahaw	iic.			5478
sarva	sarva	iic.			3574
waw	wax	iic.			2508
Xarma	Xarma	iic.			1670
sva	sva	iic.			1409
xeva	xeva	iic.			1065
arWam	arWa	m. sg. acc.			1045
rAja	rAjan	iic.			1039
brahma	brahman	iic.			881
Axi	Axi	iic.			829
arWa	arWa	iic.			763
parama	parama	iic.			649
nara	nara	iic.			618
loka	loka	iic.			616
kqwa	kqwa	iic.	kq	pp.	615
eka	eka	iic.			615
kAla	kAla	iic.			588
Awma	Awman	iic.			584
puruRa	puruRa	iic.			582
para	para	iic.			568
Barawa	Barawa	iic.			543
bala	bala	iic.			539
pUrva	pUrva	iic.			535
wri	wri	iic.			534
karma	karman	iic.			521
rasa	rasa	iic.			519
guNa	guNa	iic.			515
kAma	kAma	iic.			514
agni	agni	iic.			513
sawya	sawya	iic.			505
raWa	raWa	iic.			489
qRaBa	qRaBa	m. sg. voc.			488
Pala	Pala	iic.			479
pApa	pApa	iic.			463
Sara	Sara	iic.			453
vexa	vexa	iic.			445
sama	sama	iic.			444
puwra	puwra	iic.			438
Sawa	Sawa	iic.			436
inxra	inxra	m. sg. voc.			423
suKa	suKa	iic.			420
AwmA	Awman	m. sg. nom.			420
kuru	kuru	iic.			406
maw	asmax	iic.			403
bahu	bahu	iic.			395
vara	vara	iic.			391
yoga	yoga	iic.			384
xoRa	xoRa	iic.			355
AxayaH	Axi	m. pl. nom.			349
sura	sura	iic.			348
muni	muni	iic.			344
balaH	bala	m. sg. nom.			341
rUpa	rUpa	iic.			334
SrI	SrI	iic.			330
viw	vix	m. sg. nom.			329
wvaw	yuRmax	iic.			325
guru	guru	iic.			321
jFAna	jFAna	iic.			317
varRa	varRa	iic.			317
Soka	Soka	iic.			316
inxra	inxra	iic.			312
Siva	Siva	iic.			308
sapwa	sapwan	iic.			307
paFca	paFcan	iic.			305
sUrya	sUrya	iic.			305
piwq	piwq	iic.			305
cawuH	cawur	iic.			304
wawwva	wawwva	iic.			300
xuHKa	xuHKa	iic.			294
yajFa	yajFa	iic.			292
wapaH	wapas	iic.			291
kula	kula	iic.			286
rAkRasa	rAkRasa	iic.			286
bAhuH	bAhu	m. sg. nom.			282
pAxa	pAxa	iic.			280
canxra	canxra	iic.			280
viRa	viRa	iic.			280
nAga	nAga	iic.			279
puRpa	puRpa	iic.			278
manwra	manwra	iic.			278
prANa	prANa	iic.			276
xvi	xvi	iic.			273
kqRNa	kqRNa	iic.			273
xaSa	xaSan	iic.			270
sahasra	sahasra	iic.			270
SAswra	SAswra	iic.			266
SreRTa	SreRTa	m. sg. voc.			266
puNya	puNya	iic.			265
lokam	loka	m. sg. acc.			264
hema	heman	iic.			263
xivya	xivya	iic.			259
jFaH	jFa	m. sg. nom.			258
BIma	BIma	iic.			257
jala	jala	iic.			256
swrI	swrI	iic.			256
kaPa	kaPa	iic.			248
pANdu	pANdu	iic.			248
amiwa	amiwa	iic.			247
yama	yama	iic.			240
anwe	anwa	m. sg. loc.			238
varNa	varNa	iic.			238
xeha	xeha	iic.			237
priya	priya	iic.			237
aswra	aswra	iic.			234
piwwa	piwwa	iic.			230
gaja	gaja	iic.			229
sawwva	sawwva	iic.			228
Rat	RaR	iic.			226
paxma	paxma	iic.			225
kroXa	kroXa	iic.			222
arka	arka	iic.			220
sawwama	sawwama	m. sg. voc.			219
qRi	qRi	iic.			218
nqpa	nqpa	iic.			217
Baya	Baya	iic.			217
brAhmaNa	brAhmaNa	iic.			215
anna	anna	iic.			214
roga	roga	iic.			213
SuBa	SuBa	iic.			213
SafKa	SafKa	iic.			212
kqw	kqw	m. sg. nom.			212
xaH	xa	m. sg. nom.			211
arXa	arXa	iic.			210
maXya	maXya	iic.			208
afga	afga	iic.			207
AxiBiH	Axi	m. pl. i.			207
sWaH	sWa	m. sg. nom.			207
ganXarva	ganXarva	iic.			207
vajra	vajra	iic.			207
jiwa	jiwa	iic.	ji	pp.	207
wIrWa	wIrWa	iic.			206
vana	vana	iic.			205
vIrya	vIrya	iic.			204
inxriya	inxriya	iic.			204
karNa	karNa	iic.			202
svarga	svarga	iic.			201
qRayaH	qRi	m. pl. nom.			201
raWaH	raWa	m. sg. nom.			201
Sawru	Sawru	iic.			200
Sakwi	Sakwi	iic.			199
alpa	alpa	iic.			199
buxXi	buxXi	iic.			198
maXye	maXya	n. sg. loc.			196
hawa	hawa	iic.	han	pp.	196
aSva	aSva	iic.			196
arWe	arWa	m. sg. loc.			196
viRNu	viRNu	iic.			196
rawna	rawna	iic.			195
vAnara	vAnara	iic.			195
ruxra	ruxra	iic.			194
xeSa	xeSa	iic.			192
vipra	vipra	iic.			191
rAma	rAma	iic.			191
vixyA	vixyA	iic.			190
ganXa	ganXa	iic.			189
koti	koti	iic.			188
SarIra	SarIra	iic.			188
sixXi	sixXi	iic.			185
mayaH	maya	m. sg. nom.			185
kriyA	kriyA	iic.			184
gaxA	gaxA	iic.			184
mqga	mqga	iic.			183
gawa	gawa	iic.	gam	pp.	183
wejAH	wejas	m. sg. nom.			182
mqwyu	mqwyu	iic.			181
manaH	manas	iic.			181
cakra	cakra	iic.			181
janma	janman	iic.			180
yuga	yuga	iic.			180
anwara	anwara	iic.			179
asura	asura	iic.			179
Xana	Xana	iic.			177
mUla	mUla	iic.			176
anwa	anwa	iic.			175
vixvAn	vixvas	m. sg. nom.			175
karaH	kara	m. sg. nom.			174
Sabxa	Sabxa	iic.			172
Saswra	Saswra	iic.			172
wAmra	wAmra	iic.			172
SUla	SUla	iic.			171
xAnava	xAnava	iic.			171
giri	giri	iic.			171
vIra	vIra	iic.			170
puwraH	puwra	m. sg. nom.			170
xEwya	xEwya	iic.			170
amqwa	amqwa	iic.			169
jaH	ja	m. sg. nom.			169
Palam	Pala	n. sg. acc.			165
AxInAm	Axi	m. pl. g.			163
kAle	kAla	m. sg. loc.			163
viXi	viXi	iic.			161
vaXa	vaXa	iic.			161
mAwreNa	mAwra	n. sg. i.			160
muKa	muKa	iic.			160
jana	jana	iic.			160
mAMsa	mAMsa	iic.			160
loha	loha	iic.			160
wale	wala	m. sg. loc.			159
xroNa	xroNa	iic.			159
mAyA	mAyA	iic.			158
ASrama	ASrama	iic.			158
Sakra	Sakra	iic.			158
kRaya	kRaya	iic.			157
hA	han	m. sg. nom.			157
BAva	BAva	iic.			157
inxraH	inxra	m. sg. nom.			157
sWam	sWa	m. sg. acc.			156
SilA	SilA	iic.			156
xAna	xAna	iic.			155
siMha	siMha	iic.			154
jvara	jvara	iic.			154
samaH	sama	m. sg. nom.			153
gawaH	gawa	m. sg. nom.	gam	pp.	153
gaNa	gaNa	iic.			153
Axiwya	Axiwya	iic.			153
viSva	viSva	iic.			153
nanxana	nanxana	m. sg. voc.			152
xvAxaSa	xvAxaSan	iic.			152
inxriyaH	inxriya	m. sg. nom.			151
haswa	haswa	iic.			151
bANa	bANa	iic.			150
soma	soma	iic.			150
xravya	xravya	iic.			149
vAk	vAc	iic.			149
UrXva	UrXva	iic.			149
ciwra	ciwra	iic.			149
sahasrANi	sahasra	n. pl. nom.			149
yogena	yoga	m. sg. i.			148
jarA	jarA	iic.			148
bAhu	bAhu	iic.			148
sneha	sneha	iic.			147
xIrGa	xIrGa	iic.			146
yaw	yax	iic.			146
SuxXa	SuxXa	iic.	SuX	pp.	146
anya	anya	iic.			146
maNi	maNi	iic.			146
kAlam	kAla	m. sg. acc.			145
aXipaH	aXipa	m. sg. nom.			145
raNa	raNa	iic.			144
anila	anila	iic.			143
parvawa	parvawa	iic.			141
kalpa	kalpa	iic.			141
hari	hari	iic.			141
AxiRu	Axi	m. pl. loc.			140
Palam	Pala	n. sg. nom.			140
mokRa	mokRa	iic.			140
vikramaH	vikrama	m. sg. nom.			139
SiraH	Siras	iic.			135
mUwra	mUwra	iic.			135
Gnam	Gna	n. sg. nom.			135
maXu	maXu	iic.			134
ISvaraH	ISvara	m. sg. nom.			133
kAFcana	kAFcana	iic.			133
niwya	niwya	iic.			132
ukwa	ukwa	iic.	vac	pp.	132
XaraH	Xara	m. sg. nom.			132
aMSa	aMSa	iic.			131
AxO	Axi	m. sg. loc.			129
xvija	xvija	iic.			127
suvarNa	suvarNa	iic.			127
wejaH	wejas	iic.			126
kRawra	kRawra	iic.			126
vyAXi	vyAXi	iic.			125
kuRTa	kuRTa	iic.			125
gawam	gawa	m. sg. acc.	gam	pp.	125
saMsAra	saMsAra	iic.			124
BU	BU	iic.			124
SoNiwa	SoNiwa	iic.			124
garBa	garBa	iic.			124
xaNda	xaNda	iic.			123
jAwa	jAwa	iic.	jan	pp.	123
vrawa	vrawa	iic.			123
vaMSa	vaMSa	iic.			123
SEla	SEla	iic.			123
nArAyaNa	nArAyaNa	iic.			123
raWam	raWa	m. sg. acc.			123
xIpwa	xIpwa	iic.	xIp	pp.	122
sahasrANi	sahasra	n. pl. acc.			122
rUpaH	rUpa	m. sg. nom.			121
aMSena	aMSa	m. sg. i.			121
raWAH	raWa	m. pl. nom.			121
lakRaNam	lakRaNa	n. sg. nom.			120
wila	wila	iic.			120
vIryaH	vIrya	m. sg. nom.			120
gqha	gqha	iic.			120
narmaxA	narmaxA	iic.			120
xAha	xAha	iic.			119
maxa	maxa	iic.			119
xina	xina	iic.			119
rUpam	rUpa	n. sg. nom.			119
pANdava	pANdava	iic.			119
gaH	ga	m. sg. nom.			118
Sukla	Sukla	iic.			118
BUmi	BUmi	iic.			118
paraH	para	m. sg. nom.			118
SleRma	SleRman	iic.			117
loke	loka	m. sg. loc.			117
vqkRa	vqkRa	iic.			116
aRta	aRtan	iic.			116
kAmaH	kAma	m. sg. nom.			116
vqRNi	vqRNi	iic.			116
uwwama	uwwama	iic.			115
mAsa	mAsa	iic.			115
yaSAH	yaSas	m. sg. nom.			115
kara	kara	iic.			114
xam	xa	n. sg. nom.			114
vaswra	vaswra	iic.			113
wapAH	wapas	m. sg. nom.			113
vyAGra	vyAGra	m. sg. voc.			113
