ca	ca	ind.			40602
na	na	ind.			12667
eva	eva	ind.			11584
wu	wu	ind.			8981
iwi	iwi	ind.			8380
api	api	ind.			8049
sa	wax	m. sg. nom.			6272
wawaH	wawas	ind.			6178
waWA	waWA	ind.			5744
hi	hi	ind.			4516
wawra	wawra	ind.			3918
wam	wax	m. sg. acc.			3435
waw	wax	n. sg. nom.			3388
iva	iva	ind.			3363
uvAca	vac	pft. ac. sg. 3			3320
evam	evam	ind.			3255
wasya	wax	m. sg. g.			3226
waw	wax	n. sg. acc.			3150
yaH	yax	m. sg. nom.			3045
aham	asmax	* sg. nom.			2938
punaH	punar	ind.			2800
vA	vA	ind.			2616
yaWA	yaWA	ind.			2517
vE	vE	ind.			2481
aWa	aWa	ind.			2310
we	wax	m. pl. nom.			2263
me	asmax	* sg. g.			2191
yaw	yax	n. sg. nom.			2153
wvam	yuRmax	* sg. nom.			2037
waxA	waxA	ind.			1843
awra	awra	ind.			1838
we	yuRmax	* sg. g.			1813
ayam	ixam	m. sg. nom.			1769
ewaw	ewax	n. sg. nom.			1643
saH	wax	m. sg. nom.			1630
saha	saha	ind.			1623
Bavew	BU	opt. [1] ac. sg. 3			1614
wava	yuRmax	* sg. g.			1587
mama	asmax	* sg. g.			1497
iha	iha	ind.			1469
sarve	sarva	m. pl. nom.			1348
asya	ixam	m. sg. g.			1339
rAjan	rAjan	m. sg. voc.			1309
syAw	as	opt. [2] ac. sg. 3			1256
abravIw	brU	impft. [2] ac. sg. 3			1188
wena	wax	m. sg. i.			1179
Bavawi	BU	pr. [1] ac. sg. 3			1151
ixam	ixam	n. sg. nom.			1148
xqRtvA	xqS	abs.			1135
weRAm	wax	m. pl. g.			1115
namaH	namas	n. sg. nom.			1105
yaxi	yaxi	ind.			1104
Aha	ah	pft. ac. sg. 3			1089
sA	wax	f. sg. nom.			1070
yawra	yawra	ind.			1061
ha	ha	ind.			1058
wAm	wax	f. sg. acc.			1056
kaWam	kaWam	ind.			1040
rAjA	rAjan	m. sg. nom.			1033
kim	kim	n. sg. nom.			1029
mAm	asmax	* sg. acc.			1020
ye	yax	m. pl. nom.			1009
BArawa	BArawa	m. sg. voc.			1002
mayA	asmax	* sg. i.			987
aswi	as	pr. [2] ac. sg. 3			983
wAn	wax	m. pl. acc.			938
eRa	ewax	m. sg. nom.			937
axya	axya	ind.			913
SruwvA	Sru	abs.			899
kqwvA	kq	abs.			883
ewaw	ewax	n. sg. acc.			871
ixam	ixam	n. sg. acc.			852
nAma	nAma	ind.			852
sarvam	sarva	n. sg. nom.			831
aBavaw	BU	impft. [1] ac. sg. 3			791
ukwam	ukwa	n. sg. nom.	vac	pp.	790
we	yuRmax	* sg. dat.			777
asi	as	pr. [2] ac. sg. 2			763
svayam	svayam	ind.			741
yasya	yax	m. sg. g.			738
ucyawe	vac	pr. ps. sg. 3			738
kuryAw	kq	opt. [8] ac. sg. 3			711
kaH	kim	m. sg. nom.			710
saxA	saxA	ind.			700
sarvam	sarva	n. sg. acc.			694
jAyawe	jan	pr. [4] md. sg. 3			684
BagavAn	Bagavaw	m. sg. nom.			684
yaw	yax	n. sg. acc.			670
ukwaH	ukwa	m. sg. nom.	vac	pp.	668
sma	sma	ind.			668
wvAm	yuRmax	* sg. acc.			642
wasmin	wax	m. sg. loc.			641
wvayA	yuRmax	* sg. i.			634
kim	kim	n. sg. acc.			624
yAvaw	yAvaw	ind.			621
asO	axas	m. sg. nom.			615
purA	purA	ind.			604
saMSayaH	saMSaya	m. sg. nom.			585
puwraH	puwra	m. sg. nom.			577
yawaH	yawas	ind.			573
raNe	raNa	m. sg. loc.			565
XarmaH	Xarma	m. sg. nom.			552
awaH	awas	ind.			543
sarvAn	sarva	m. pl. acc.			539
asmi	as	pr. [2] ac. sg. 1			537
vacanam	vacana	n. sg. acc.			530
BaviRyawi	BU	fut. ac. sg. 3			530
naraH	nara	m. sg. nom.			529
wena	wax	n. sg. i.			527
ukwvA	vac	abs.			525
prawi	prawi	ind.			524
AwmAnam	Awman	m. sg. acc.			517
param	para	n. sg. nom.			515
SqNu	Sru	imp. [5] ac. sg. 2			501
kqwam	kqwa	n. sg. nom.	kq	pp.	500
wO	wax	m. du. nom.			487
AhuH	ah	pft. ac. pl. 3			473
AsIw	as	impft. [2] ac. sg. 3			469
loke	loka	m. sg. loc.			467
wAvaw	wAvaw	ind.			459
wasmAw	wax	n. sg. abl.			458
aBUw	BU	aor. [1] ac. sg. 3			457
arhasi	arh	pr. [1] ac. sg. 2			455
wAwa	wAwa	m. sg. voc.			455
anye	anya	m. pl. nom.			453
yaxA	yaxA	ind.			449
samyak	samyak	ind.			448
mahAwmanaH	mahAwman	m. sg. g.			445
AwmanaH	Awman	m. sg. g.			444
agniH	agni	m. sg. nom.			442
brahmA	brahman	m. sg. nom.			435
xevaH	xeva	m. sg. nom.			434
ekaH	eka	m. sg. nom.			432
wEH	wax	m. pl. i.			426
ewe	ewax	m. pl. nom.			425
imam	ixam	m. sg. acc.			424
naH	asmax	* pl. g.			423
puruRaH	puruRa	m. sg. nom.			414
pqWak	pqWak	ind.			407
prApya	prAp	abs.			406
sarveRAm	sarva	m. pl. g.			397
aswu	as	imp. [2] ac. sg. 3			397
vacaH	vacas	n. sg. acc.			396
mahAn	mahaw	m. sg. nom.			393
Bavanwi	BU	pr. [1] ac. pl. 3			378
kAle	kAla	m. sg. loc.			378
smqwaH	smqwa	m. sg. nom.	smq	pp.	372
BavAn	Bavaw	m. sg. nom.			372
rAmaH	rAma	m. sg. nom.			368
karma	karman	n. sg. acc.			362
iyam	ixam	f. sg. nom.			360
Xarmam	Xarma	m. sg. acc.			360
XqwarARtraH	XqwarARtra	m. sg. nom.			360
cew	cex	ind.			359
gawaH	gawa	m. sg. nom.	gam	pp.	356
xaxyAw	xA	opt. [3] ac. sg. 3			352
parASaraH	parASara	m. sg. nom.			350
SarEH	Sara	m. pl. i.			348
Palam	Pala	n. sg. acc.			345
sawyam	sawya	n. sg. nom.			343
gawvA	gam	abs.			340
xevam	xeva	m. sg. acc.			336
karowi	kq	pr. [8] ac. sg. 3			336
anyaw	anya	n. sg. nom.			336
vayam	asmax	* pl. nom.			336
praBuH	praBu	m. sg. nom.			334
varaH	vara	m. sg. nom.			331
icCAmi	iR	pr. [6] ac. sg. 1			329
jagAma	gam	pft. ac. sg. 3			328
AxAya	AxA	abs.			327
baBUva	BU	pft. ac. sg. 3			326
karma	karman	n. sg. nom.			324
maXye	maXya	n. sg. loc.			322
yena	yax	m. sg. i.			320
anyaH	anya	m. sg. nom.			319
xaxarSa	xqS	pft. ac. sg. 3			319
wasmE	wax	m. sg. dat.			317
nAnA	nAnA	ind.			316
wapaH	wapas	n. sg. acc.			314
manaH	manas	n. sg. nom.			311
brahma	brahman	n. sg. nom.			311
mahaw	mahaw	n. sg. acc.			311
sWiwaH	sWiwa	m. sg. nom.	sWA	pp.	310
yam	yax	m. sg. acc.			310
asmin	ixam	m. sg. loc.			310
xevAnAm	xeva	m. pl. g.			310
xevAH	xeva	m. pl. nom.			305
gawim	gawi	f. sg. acc.			304
wasmin	wax	n. sg. loc.			299
vixyawe	vix	pr. ps. sg. 3			298
varam	vara	m. sg. acc.			295
rAjFaH	rAjan	m. sg. g.			292
puwram	puwra	m. sg. acc.			292
brUhi	brU	imp. [2] ac. sg. 2			292
Palam	Pala	n. sg. nom.			291
kva	kva	ind.			289
vAyuH	vAyu	m. sg. nom.			288
yAwi	yA	pr. [2] ac. sg. 3			288
anena	ixam	m. sg. i.			286
paScAw	paScAw	ind.			286
wasya	wax	n. sg. g.			286
kAlaH	kAla	m. sg. nom.			286
mahaw	mahaw	n. sg. nom.			285
xevi	xevI	f. sg. voc.			281
kila	kila	ind.			280
kuruwe	kq	pr. [8] md. sg. 3			278
wayoH	wax	m. du. g.			278
prAha	prAh	pft. ac. sg. 3			277
rasaH	rasa	m. sg. nom.			275
prajApawiH	prajApawi	m. sg. nom.			275
sarvawaH	sarvawas	ind.			274
wasyAH	wax	f. sg. g.			274
kruxXaH	kruxXa	m. sg. nom.	kruX	pp.	273
balam	bala	n. sg. nom.			272
arWaH	arWa	m. sg. nom.			271
anyawra	anyawra	ind.			270
xawwvA	xA	abs.			270
sarvaSaH	sarvaSas	ind.			270
viRNuH	viRNu	m. sg. nom.			265
weRu	wax	m. pl. loc.			264
brAhmaNaH	brAhmaNa	m. sg. nom.			264
karwum	kq	inf.			263
xqSyawe	xqS	pr. ps. sg. 3			263
