a	a	15846
a	s	13546
a	v	12959
a	A	11363
a	p	10859
a	k	8943
a	m	6730
a	x	5849
a	u	5421
a	S	5394
a	g	4095
a	r	3979
a	n	3820
a	B	3488
a	j	3336
a	w	2746
a	l	2623
a	y	2129
a	i	2064
a	X	2029
a	h	2012
a	c	1918
i	s	1830
a	b	1773
i	p	1483
A	a	1393
A	b	1380
a	q	1372
i	v	1292
i	k	1065
A	v	1026
A	r	955
A	p	922
A	m	859
a	I	831
u	p	820
A	A	818
i	m	811
w	p	809
i	a	808
A	w	802
i	x	735
w	a	723
u	s	709
i	S	700
A	s	698
u	v	684
a	P	673
A	k	594
a	G	584
w	k	536
w	v	513
A	q	503
w	s	496
u	m	467
A	x	461
i	g	459
a	o	459
i	n	459
u	k	450
w	m	426
A	y	422
A	i	413
u	n	406
I	p	401
I	m	381
A	u	374
i	r	367
i	B	363
a	C	350
A	S	339
i	y	324
u	S	321
w	g	312
w	A	311
A	g	304
i	j	300
i	h	295
a	e	287
i	w	285
u	a	267
u	x	258
A	B	254
A	n	253
i	A	241
aH	v	241
w	B	222
a	K	219
u	r	212
w	w	212
i	l	208
I	w	205
u	B	201
w	x	198
aH	s	197
u	j	182
I	s	179
w	n	178
A	j	176
u	g	176
i	b	175
aH	m	174
I	v	173
A	X	167
aH	a	167
I	x	162
u	w	158
w	S	153
w	r	151
i	X	151
aH	g	148
i	c	146
u	u	145
u	l	143
I	k	142
a	U	138
aH	p	138
A	h	138
u	A	137
u	b	134
I	S	128
t	m	126
w	j	122
i	u	119
q	x	116
I	g	111
A	c	111
w	u	108
q	v	103
A	G	99
k	m	96
aH	r	95
uH	v	95
A	o	94
u	h	92
a	O	91
w	b	88
aH	w	87
aH	S	86
q	s	84
aH	k	83
a	E	82
k	v	81
a	R	80
u	c	78
u	y	77
U	w	76
u	X	76
q	p	76
aH	n	75
A	l	73
aH	b	70
I	n	69
uH	a	66
A	P	66
aH	y	65
q	g	64
uH	S	63
w	c	63
uH	s	60
w	l	60
k	s	59
uH	m	58
i	i	58
i	G	57
t	a	57
I	c	57
w	P	56
w	X	56
I	r	56
aH	B	55
I	j	55
w	y	54
k	p	53
u	G	51
i	P	50
aH	X	50
uH	B	48
q	S	48
q	m	46
q	l	45
aH	x	44
uH	p	44
I	b	43
U	m	41
I	P	40
I	B	39
I	X	38
aH	c	34
q	k	34
k	a	33
aH	j	32
k	x	32
q	B	32
k	y	32
uH	x	30
t	k	30
i	I	29
uH	y	29
uH	X	29
A	I	28
A	C	27
uH	A	27
k	k	27
q	y	27
aH	h	26
aH	G	25
t	r	25
q	j	25
U	v	25
U	p	24
u	U	23
w	h	23
i	C	23
i	R	23
t	B	23
I	h	23
i	K	22
I	l	22
k	A	21
k	B	21
U	B	21
t	v	20
k	b	20
w	C	20
q	A	20
w	i	19
t	s	18
u	P	18
q	n	18
uH	k	17
k	S	17
k	n	17
q	w	17
uH	h	17
U	S	17
i	o	16
A	U	16
i	e	16
i	q	15
t	p	15
uH	b	15
A	K	15
u	C	14
t	x	14
k	r	14
uH	l	14
q	h	13
k	u	13
u	i	13
q	a	13
uH	j	13
a	d	13
U	s	12
k	c	12
I	y	12
U	j	12
q	b	11
iH	s	11
U	g	11
uH	c	11
w	U	11
t	j	10
A	e	10
aH	l	10
w	I	10
uH	n	10
iH	g	10
iH	m	9
w	e	9
u	R	9
t	A	9
aH	R	9
uH	g	9
k	j	9
U	n	9
w	G	9
w	O	8
iH	p	8
w	K	8
k	i	8
q	r	8
U	r	8
aH	C	7
aH	P	7
uH	w	7
U	x	7
t	g	7
t	X	7
w	q	7
I	G	7
U	k	7
k	g	6
k	w	6
w	R	6
u	K	6
A	O	6
iH	B	6
a	t	6
o	v	6
U	l	6
a	J	6
t	i	6
I	a	6
iH	r	6
I	C	6
iH	a	5
i	U	5
iH	v	5
iH	w	5
t	w	5
U	P	5
I	A	5
iH	n	5
q	G	5
u	I	5
iH	y	5
t	C	4
iH	k	4
k	h	4
U	b	4
w	E	4
I	K	4
iH	x	4
k	X	4
iH	A	4
U	c	3
aH	K	3
u	O	3
t	b	3
t	l	3
iH	S	3
uH	u	3
t	u	3
q	c	3
t	q	3
U	a	3
t	n	3
w	o	3
t	y	3
I	R	3
k	l	3
U	X	3
o	r	3
o	p	3
o	s	3
k	P	2
u	o	2
u	q	2
m	s	2
A	t	2
k	C	2
MH	w	2
uH	i	2
o	n	2
t	e	2
S	S	2
t	c	2
AH	j	2
i	O	2
uH	C	2
i	t	2
iH	X	2
O	v	2
t	G	2
uH	K	2
p	j	2
iH	C	2
A	R	2
AH	s	2
o	j	2
o	m	2
p	C	2
o	K	1
iH	l	1
m	A	1
k	O	1
k	E	1
I	J	1
S	y	1
p	v	1
k	K	1
A	E	1
m	w	1
u	J	1
q	R	1
k	G	1
uH	I	1
I	d	1
iH	b	1
p	a	1
t	h	1
o	x	1
I	i	1
o	a	1
o	y	1
iH	j	1
iH	i	1
A	d	1
IH	k	1
O	s	1
uH	R	1
p	p	1
k	R	1
u	e	1
U	A	1
m	y	1
F	a	1
uH	q	1
p	o	1
uH	O	1
q	C	1
k	I	1
a	D	1
p	X	1
uH	r	1
