ca	2	48173
na	2	17146
eva	2	15334
iwi	2	12044
wu	2	11053
api	2	10338
uvAca	2	10338
waw	2	8261
waWA	2	8059
sa	2	7746
wawaH	2	7636
mahA	1	7078
we	2	6490
hi	2	6485
iva	2	4889
vA	2	4865
wawra	2	4745
evam	2	4462
wasya	2	4300
wam	2	4236
yaH	2	4169
sarva	1	4158
yaWA	2	4117
vE	2	3710
aham	2	3646
yaw	2	3565
punaH	2	3324
ewaw	2	3256
waw	1	3054
me	2	3054
waxA	2	2859
aWa	2	2838
wvam	2	2484
ixam	2	2481
saH	2	2387
Xarma	1	2274
ayam	2	2227
awra	2	2196
wena	2	2114
Bavew	2	2102
mama	2	2067
saha	2	2018
sA	2	2013
asya	2	2007
xqRtvA	2	1985
kim	2	1983
sarve	2	1944
iha	2	1863
sarvam	2	1860
rAjA	2	1816
wava	2	1814
rAjan	2	1802
ye	2	1751
mayA	2	1742
sva	1	1734
Bavawi	2	1661
yaxi	2	1551
syAw	2	1548
abravIw	2	1526
SruwvA	2	1511
arWam	2	1508
ha	2	1447
weRAm	2	1444
xeva	1	1404
yawra	2	1375
eRa	2	1373
kqwvA	2	1366
rAja	1	1341
wAm	2	1324
Aha	2	1311
aswi	2	1282
kaWam	2	1263
mAm	2	1256
namaH	2	1227
wAn	2	1208
param	2	1183
vESampAyanaH	2	1174
nAma	2	1160
wasmin	2	1158
AwmA	2	1148
brahma	1	1147
ukwam	2	1083
axya	2	1083
Palam	2	1075
wvayA	2	1074
ucyawe	2	1046
saxA	2	1042
yasya	2	1034
Axi	1	1011
BArawa	2	998
aBavaw	2	985
vacanam	2	974
puwraH	2	974
yuXiRTiraH	2	970
naH	2	968
balam	2	946
karma	2	944
asi	2	927
arWa	1	924
purA	2	922
svayam	2	912
ukwvA	2	907
wasmAw	2	900
asO	2	890
kaH	2	890
rUpam	2	876
XarmaH	2	875
ukwaH	2	869
kqwam	2	866
xevAH	2	843
BIRmaH	2	840
yaxA	2	838
kuryAw	2	837
nara	1	830
wO	2	828
uwwamam	2	812
BagavAn	2	806
ewe	2	803
eka	1	799
jAyawe	2	798
raNe	2	795
sUwaH	2	793
vacaH	2	791
sma	2	789
yAvaw	2	778
saMSayaH	2	777
parama	1	776
loka	1	775
loke	2	770
awaH	2	762
wvAm	2	754
