ca	ca	ind.			48173
na	na	ind.			17146
eva	eva	ind.			15334
iwi	iwi	ind.			12044
wu	wu	ind.			11053
api	api	ind.			10338
uvAca	vac	pft. ac. sg. 3			10334
waWA	waWA	ind.			8059
sa	wax	m. sg. nom.			7746
wawaH	wawas	ind.			7607
mahA	mahaw	iic.			7078
hi	hi	ind.			6485
iva	iva	ind.			4889
vA	vA	ind.			4865
wawra	wawra	ind.			4745
evam	evam	ind.			4462
wam	wax	m. sg. acc.			4236
waw	wax	n. sg. acc.			4194
yaH	yax	m. sg. nom.			4169
sarva	sarva	iic.			4158
yaWA	yaWA	ind.			4117
waw	wax	n. sg. nom.			4067
wasya	wax	m. sg. g.			3949
vE	vE	ind.			3710
aham	asmax	* sg. nom.			3646
punaH	punar	ind.			3324
we	wax	m. pl. nom.			3322
waw	wax	iic.			3054
waxA	waxA	ind.			2859
me	asmax	* sg. g.			2853
aWa	aWa	ind.			2838
yaw	yax	n. sg. nom.			2704
wvam	yuRmax	* sg. nom.			2484
saH	wax	m. sg. nom.			2387
Xarma	Xarma	iic.			2274
ayam	ixam	m. sg. nom.			2227
we	yuRmax	* sg. g.			2216
awra	awra	ind.			2196
Bavew	BU	opt. [1] ac. sg. 3			2102
mama	asmax	* sg. g.			2067
ewaw	ewax	n. sg. nom.			2032
saha	saha	ind.			2016
sA	wax	f. sg. nom.			2013
xqRtvA	xqS	abs.			1985
sarve	sarva	m. pl. nom.			1927
iha	iha	ind.			1863
rAjA	rAjan	m. sg. nom.			1816
wava	yuRmax	* sg. g.			1814
rAjan	rAjan	m. sg. voc.			1799
asya	ixam	m. sg. g.			1766
ye	yax	m. pl. nom.			1738
mayA	asmax	* sg. i.			1737
sva	sva	iic.			1734
Bavawi	BU	pr. [1] ac. sg. 3			1649
yaxi	yaxi	ind.			1551
syAw	as	opt. [2] ac. sg. 3			1548
abravIw	brU	impft. [2] ac. sg. 3			1526
SruwvA	Sru	abs.			1511
wena	wax	m. sg. i.			1465
ha	ha	ind.			1447
xeva	xeva	iic.			1404
arWam	arWa	m. sg. acc.			1399
yawra	yawra	ind.			1375
eRa	ewax	m. sg. nom.			1373
ixam	ixam	n. sg. nom.			1370
kqwvA	kq	abs.			1366
weRAm	wax	m. pl. g.			1353
rAja	rAjan	iic.			1341
wAm	wax	f. sg. acc.			1324
Aha	ah	pft. ac. sg. 3			1311
aswi	as	pr. [2] ac. sg. 3			1282
kaWam	kaWam	ind.			1262
mAm	asmax	* sg. acc.			1256
kim	kim	n. sg. nom.			1233
ewaw	ewax	n. sg. acc.			1224
namaH	namas	n. sg. nom.			1211
wAn	wax	m. pl. acc.			1208
vESampAyanaH	vESampAyana	m. sg. nom.			1174
brahma	brahman	iic.			1147
AwmA	Awman	m. sg. nom.			1147
ixam	ixam	n. sg. acc.			1111
axya	axya	ind.			1083
wvayA	yuRmax	* sg. i.			1074
ucyawe	vac	pr. ps. sg. 3			1046
saxA	saxA	ind.			1042
Axi	Axi	iic.			1011
BArawa	BArawa	m. sg. voc.			998
yasya	yax	m. sg. g.			986
aBavaw	BU	impft. [1] ac. sg. 3			985
nAma	nAma	ind.			982
puwraH	puwra	m. sg. nom.			974
ukwam	ukwa	n. sg. nom.	vac	pp.	970
yuXiRTiraH	yuXiRTira	m. sg. nom.			970
sarvam	sarva	n. sg. nom.			949
asi	as	pr. [2] ac. sg. 2			927
arWa	arWa	iic.			924
purA	purA	ind.			922
svayam	svayam	ind.			912
ukwvA	vac	abs.			907
kaH	kim	m. sg. nom.			890
XarmaH	Xarma	m. sg. nom.			875
ukwaH	ukwa	m. sg. nom.	vac	pp.	869
yaw	yax	n. sg. acc.			861
we	yuRmax	* sg. dat.			856
vacanam	vacana	n. sg. acc.			844
BIRmaH	BIRma	m. sg. nom.			840
yaxA	yaxA	ind.			838
kuryAw	kq	opt. [8] ac. sg. 3			837
nara	nara	iic.			830
xevAH	xeva	m. pl. nom.			829
sarvam	sarva	n. sg. acc.			829
asO	axas	m. sg. nom.			826
BagavAn	Bagavaw	m. sg. nom.			806
eka	eka	iic.			799
jAyawe	jan	pr. [4] md. sg. 3			798
wasmin	wax	m. sg. loc.			798
raNe	raNa	m. sg. loc.			795
sUwaH	sUwa	m. sg. nom.			792
sma	sma	ind.			789
saMSayaH	saMSaya	m. sg. nom.			777
parama	parama	iic.			776
loka	loka	iic.			775
ewe	ewax	m. pl. nom.			771
loke	loka	m. sg. loc.			770
yAvaw	yAvaw	ind.			765
awaH	awas	ind.			762
wvAm	yuRmax	* sg. acc.			754
kim	kim	n. sg. acc.			750
Awma	Awman	iic.			738
kqwa	kqwa	iic.	kq	pp.	734
AwmAnam	Awman	m. sg. acc.			720
SrI	SrI	iic.			719
yawaH	yawas	ind.			704
para	para	iic.			702
BaviRyawi	BU	fut. ac. sg. 3			696
vacaH	vacas	n. sg. acc.			693
naraH	nara	m. sg. nom.			688
Barawa	Barawa	iic.			687
kAla	kAla	iic.			682
kqwam	kqwa	n. sg. nom.	kq	pp.	678
puruRa	puruRa	iic.			675
kAle	kAla	m. sg. loc.			673
agniH	agni	m. sg. nom.			671
karma	karman	iic.			665
asmi	as	pr. [2] ac. sg. 1			660
AwmanaH	Awman	m. sg. g.			659
gawaH	gawa	m. sg. nom.	gam	pp.	653
wena	wax	n. sg. i.			649
sarvAn	sarva	m. pl. acc.			648
rasa	rasa	iic.			644
bala	bala	iic.			642
kAma	kAma	iic.			640
pUrva	pUrva	iic.			635
AsIw	as	impft. [2] ac. sg. 3			635
anye	anya	m. pl. nom.			634
guNa	guNa	iic.			632
ekaH	eka	m. sg. nom.			631
prawi	prawi	ind.			627
wri	wri	iic.			627
xevaH	xeva	m. sg. nom.			627
raWa	raWa	iic.			626
agni	agni	iic.			619
maXye	maXya	n. sg. loc.			617
Bavanwi	BU	pr. [1] ac. pl. 3			615
wO	wax	m. du. nom.			614
qRaBa	qRaBa	m. sg. voc.			611
naH	asmax	* pl. g.			610
sawya	sawya	iic.			604
brahmA	brahman	m. sg. nom.			602
wasmAw	wax	n. sg. abl.			601
qRayaH	qRi	m. pl. nom.			594
param	para	n. sg. nom.			593
inxraH	inxra	m. sg. nom.			589
vexa	vexa	iic.			581
AhuH	ah	pft. ac. pl. 3			579
Palam	Pala	n. sg. acc.			579
pApa	pApa	iic.			579
iyam	ixam	f. sg. nom.			578
wAvaw	wAvaw	ind.			576
Pala	Pala	iic.			575
saFjayaH	saFjaya	m. sg. nom.			573
SqNu	Sru	imp. [5] ac. sg. 2			564
maw	asmax	iic.			564
puruRaH	puruRa	m. sg. nom.			560
gawvA	gam	abs.			554
samyak	samyak	ind.			552
yA	yax	f. sg. nom.			552
aBUw	BU	aor. [1] ac. sg. 3			549
mArkaNdeyaH	mArkaNdeya	m. sg. nom.			549
lokam	loka	m. sg. acc.			548
arWaH	arWa	m. sg. nom.			544
UcuH	vac	pft. ac. pl. 3			541
inxra	inxra	m. sg. voc.			540
puwra	puwra	iic.			536
Sara	Sara	iic.			534
arhasi	arh	pr. [1] ac. sg. 2			533
Xarmam	Xarma	m. sg. acc.			533
wEH	wax	m. pl. i.			532
vayam	asmax	* pl. nom.			526
wAwa	wAwa	m. sg. voc.			523
aswu	as	imp. [2] ac. sg. 3			521
suKa	suKa	iic.			520
sama	sama	iic.			519
imam	ixam	m. sg. acc.			519
bahu	bahu	iic.			516
Sawa	Sawa	iic.			515
rAmaH	rAma	m. sg. nom.			508
mahAn	mahaw	m. sg. nom.			506
AxayaH	Axi	m. pl. nom.			505
yoga	yoga	iic.			502
BavAn	Bavaw	m. sg. nom.			500
piwA	piwq	m. sg. nom.			499
wasyAH	wax	f. sg. g.			497
varaH	vara	m. sg. nom.			495
pqWak	pqWak	ind.			494
vara	vara	iic.			493
Palam	Pala	n. sg. nom.			492
karma	karman	n. sg. acc.			489
cew	cex	ind.			479
muni	muni	iic.			473
ISvaraH	ISvara	m. sg. nom.			470
manasA	manas	n. sg. i.			469
prApya	prAp	abs.			468
karma	karman	n. sg. nom.			455
balaH	bala	m. sg. nom.			454
xoRa	xoRa	iic.			453
sarveRAm	sarva	m. pl. g.			447
